occupation,frequency,canonical_label
Macchine cinematografiche,2,Cinematographic equipment
Macchine utensili,2,Machine tools
Manifatture e tessuti,2,Textiles and fabrics
Marmellate,2,Jams
Materiale per agricoltura,2,Agricultural materials
MOBILI DI FERRO,2,Iron Furniture
MOBILI DI LUSSO E COMUNI,2,Luxury and common furniture
Navigazione lagunare,2,Lagoon navigation
Navi in cemento,2,Cement ships
Nettezza urbana,2,Urban sanitation
Officine fabbrili,2,Metal workshops
Oggetti artistici per regali,2,Artistic gift items
Oggetti di piombo,2,Lead products
Pennelli e spazzole,2,Brushes and brooms
Pesce marittima,2,Seafood
Pescicoltura,2,Fish farming
Portabagagli,2,Luggage services
Prodotti agricoli,2,Agricultural products
Prodotti antiparassitari,2,Pest control products
Prodotti e sottoprodotti petroliferi,2,Petroleum products
Provveditori marittimi,2,Maritime suppliers
"Rappresentanti e commissionari auto, cicli e accessori",2,Automotive representatives
materiali edili,2,Building materials
Riparazioni barche e motori,2,Boat and engine repairs
Rivestimenti,2,Coatings
Sacchetti di carta,2,Paper bags
Salumi (grossisti),2,Wholesale cured meats
Sartoria civile e militare,2,Tailoring (civil and military)
Scuole di dattilografia,2,Typing schools
Segherie,2,Sawmills
Sementi,2,Seeds
Serramenti,2,Fixtures
setorie e lanerie,2,Silk and wool trades
Società minerarie,2,Mining companies
Soffierie,2,Glassblowing
Specchi veneziani,2,Venetian Mirrors
Spedizioni e trasporfti,2,Shipping and Transport
Agenzia Trasporti,2,Transport Agency
Telerie,2,Textiles
Tessuti stampati e artistici,2,Printed Fabrics
Timbri di gomma,2,Rubber Stamps
Trasporti marittimi,2,Maritime Transport
Vele e bandiere,2,Sails and Flags
Vernici sottomarine,2,Underwater Paints
Vetri neutri,2,Neutral Glass
Zolfo,2,Sulfur
agenzia d'affari,2,Business Agency
medico,2,Medical Profession
Pellicceria,2,Furrier
Caffè (torrefazione),2,Coffee Roasting
Pensione,2,Guesthouse
Sartoria e confezioni per uomo,2,Men's Tailoring
Presd. Soc.,2,President of Society
Vice Pres.,2,Vice President
Banco di Roma,2,Bank
merceria,2,Notions Store
decoratori e pittori,2,Decorators and Painters
antichita belle arti,2,Antiques and Fine Arts
murari,2,masonry
terrazziario,2,flooring
Assitenza,2,assistance
carbone,2,coal
cereria e prodotti affini,2,candle making
rappresentanti,2,representatives
carbone (importatori e produttori),2,coal (importers and producers)
ghiaccio (vendita),2,ice sales
veterinario,2,veterinary
stuccchi edile,2,building plaster
pelletterie,2,leather goods
bar-pasticceria,2,café-pastry shop
rettore,2,rector
cappelleria,2,hat shop
Carpentiere,2,carpenter
Carbone e Legna (dettaglio),2,coal and wood (retail)
Articoli di Lusso per Regali,2,luxury gift items
 cartoleria,2,stationery
rappresentante calzature,2,shoe representative
pianoforti,2,pianos
"oreficeria, gioielleria",2,"goldsmithing, jewelry"
Medico Provinciale,2,provincial doctor
pastificio,2,pasta production
carbone legna,2,coal and wood
rappresentante tessuti confezioni,2,textile representative
materiale elettrico,2,electrical materials
esercizi,2,businesses
calzolaio,2,shoemaker
rivendita,2,resale
ottica,2,optics
 riproduzioni ed oggetti artistici,2,art reproductions
officina meccanica metallurgica e costruzioni in ferro,2,mechanical workshop
valigerie,2,luggage
oli commestibili,2,edible oils
vini grossista,2,wine wholesaler
macchine cinematografiche,2,cinematographic equipment
cartoline illustrate,2,illustrated postcards
rappresentante profumi,2,perfume representative
carta cartoni ed affini (industria),2,paper and cardboard industry
mobili (negozi),2,furniture store
avv,2,legal profession
alimentaristi (dett.),2,food retailers
stomatologo,2,dentist
Carbone e legna,2,coal and wood
Chimico,2,chemist
"Medicina Generale, Dott. Medicina",2,general medicine
alimentari (det.),2,food retail
Manifatture,2,manufacturing
Pesce (ingrosso),2,fish wholesaler
Alimentari (det.t),2,food retail
Frutta e verdura (grossista),2,Wholesale fruits and vegetables
trasporti,2,Transportation
navi (demolizione),2,Ship demolition
olii commestibili,2,Edible oils
tabachcheria,2,tobacco shop
sartoria da uomo,2,Men's tailoring
carbone e legna (dettagli),2,Coal and wood (retail)
carbone e legna (dett.),2,Coal and wood (retail)
dolciumi,2,Confectionery
lateria,2,Brickmaking
impianti di riscaldamento,2,Heating systems
sartoria uomo,2,Men's tailoring
caffè (torrefazione),2,Coffee roasting
Carbone e legna (dettaglio),2,Coal and wood (retail)
segretario,2,Secretary
confezioni per bambini,2,Children's clothing
terraglie,2,Earthenware
carta,2,Paper
mode,2,Fashion
(dettaglio),2,Unknown
liquori (fabrica e deposito),2,Liquor (factory and storage)
Consigliere (TELVE),2,Counselor
bandaio e lattoniere,2,plumber and tinsmith
insegnante Accademia di Belle Arti,2,art teacher
rappresentante materiali edili,2,building materials representative
merletti e ricami,2,lace and embroidery
ghiaccio,2,ice
prodotti farmaceutici (commercio),2,pharmaceutical products
Riparazioni calzature e capelli,2,shoe and hair repairs
combustibili liquidi ed affini,2,liquid fuels
coltellinaio e arrotino,2,cutler and sharpener
"alimentari gross, drogheria",2,grocery
Ass. dei Commercianti,2,merchants' association
materiali da costruzione,2,Construction Materials
cantieri navale,2,shipyard
medico generale,2,general practitioner
manifature,2,manufacturing
ottica (commercio),2,optical commerce
oli commestibili (commercio),2,edible oils
Questore,2,police chief
vini (grossisti),2,wine wholesaler
pellami e cuoi,2,leather and hides
Giudice Tribunale Civile e Penale,2,civil and criminal judge
Rappresentante generi alimentari,2,food representative
Legnami e pali da costruzione,2,timber and construction poles
officina elettromeccanica,2,electromechanical workshop
impianti telefonici,2,telephone installations
"fiori, piante e sementi",2,"flowers, plants, and seeds"
dr.,2,medical profession
prof.,2,academic profession
barbieri,2,barber
 giocattoli,2,toys
Orologeria,2,watchmaking
Radio,2,electronics
rappresentante articoli casalinghi,2,home goods representative
fotografo (gabinetti di posa),2,photographer
friggitoria e commestibili cotti,2,fried food and cooked goods
(grossista),2,wholesaler
rimorchiatori,2,towing company
maglieria (negozio),2,knitwear shop
petrolio,2,oil industry
giornali rivendita,2,newspaper retail
Geom.,2,surveying profession
Palazzo Giustinian,2,government building
caffè (surrogati),2,coffee substitutes
industria chimica,2,chemical industry
acquisto costruzioni immobili,2,real estate development
compra.vendita immobili,2,real estate brokerage
Soc. An. Condizione Immobilit,2,real estate company
autorasporti,2,automotive transport
Società Cementi Armati Centrifugati,2,construction trade
abbigliamento,2,clothing
"Mercerie, Filati e Affini",2,haberdashery
"Fiori, Piante e Sementi",2,floristry
Fotografo,2,photography
oculista,2,optometry
Sarto,2,tailor
Mediatore,2,mediator
Trasporti marittimi fluviali e terrestri,2,shipping and transportation
bottigliera,2,bottling
Vice Comm.,2,government official
budella salate,2,sausage casings
cinema,2,cinema
Impresa,2,business
coal and firewood,2,fuel supply
shipping and transportation,2,shipping and transportation
giornali (distribuzione),2,newspaper distribution
Attuario,2,actuary
malattie nervose,2,neurology
Capo ufficio,2,office manager
DIREZIONE LAVORI E SERVIZI PUBBLICI,2,public works
DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,2,public health services
scuole,2,schools
Ispettori Principali,2,inspectors
Economato,2,Government institution
Politica economica e finanziaria,2,Economic policy
Lingua e letteratura francese,2,Language and literature
Lingua e letteratura spagnola,2,Language and literature
Lingua e letteratura tedesca,2,Language and literature
Diritto del lavoro,2,Legal profession
Diritto amministrativo,2,Legal profession
Diritto processuale civile,2,Legal profession
Merceologia,2,Commerce
Lingua spagnola,2,Language
Matematico,2,Mathematics
Primi Archivisti,2,Archive profession
Usceri capi,2,Government institution
Istruzione,2,Education
" S. Giovanni Laterano, , ",2,Religious institution
Disegnatore,2,Designer
DELLA CA’ PESARO,2,Art institution
Aiuto,2,Assistant
Protocollo Archivio,2,Archive protocol
Coadiutore,2,Assistant
Cappellano,2,Clergy
Mensile,2,Publication
Generatori Acetilene brevettati,2,Manufacturing
dottore,2,Medical profession
teatro,2,theater
DIREZIONE LOTTO,2,lottery administration
I. Ragioniere,2,accountant
Ufficio Stampa,2,press office
Rag. capi,2,chief accountant
Membro supplente,2,substitute member
esperto elettrotecnico,2,electrical expert
Membro di diritto,2,ex officio member
Addetto,2,staff member
Squadra Mobile,2,mobile unit
Capitano di P.S. in S.P.E.,2,police captain
Ispettori PlI,2,inspectors
Ispettori Capi,2,chief inspectors
Pittura,2,painting
Ornato disegnato,2,decorative design
Figura e ornato modellato,2,modeled figure and ornament
Curato,2,parish priest
Sindaci supplenti.,2,substitute mayors
V. Pres.,2,vice president
Impresa impianti elettrici industriali,1,industrial electrical company
Articoli per regalo,1,gift items
Officina riparazioni,1,repair workshop
GIUNTA PROV. AMMINISTRATIVA,1,provincial administrative council
Assicurazioni Generali,1,insurance company
Vice Segretario Generale,1,Government/civic institution
Primo Segretario,1,Government/civic institution
Ragioniere capo,1,Accounting profession
Santa Croce (IV),1,Religious institution/clergy
Ufficio Deposito,1,Government/civic institution
Mazzorbo di Burano,1,Unknown/Geographical location
Stabilimento I. N. A.,1,Manufacturing company
Vetrocke,1,Unknown/Corrupted term
presso Albergo Danieli,1,Hospitality industry
presso ditta 'Jessurum',1,Business/company
presso Italian,1,Business/company
presso Adriatica di Navigazione,1,Shipping company
V. Comm. Agg.,1,Unknown/Corrupted term
Incaricato della supplenza del Presidente del Tribunale di Venezia,1,Legal profession
Consigliere Corte Appello,1,Legal profession
Ingegnere Capo,1,Engineering profession
UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,1,Government/civic institution
"Uffici Finanziari di Mirano,",1,Government/civic institution
Vice Comnissario Amm.vo,1,Government/civic institution
Gestore,1,Business management
Col.,1,Unknown/Corrupted term
Capo Ufficio,1,Government/civic institution
Ufficio Idrografico,1,Government/civic institution
Direttore Regionale,1,Government/civic institution
Segretario Regionale,1,Government/civic institution
Gruppo Ristoranti trattorie,1,Restaurant group
"Caffé, bar, bottigliere, birrierc",1,Café and bar
Direttore della Sede,1,Office director
Ispettore Compartimentale Amministrativo per le Tre Venezie,1,Administrative inspector
Reggente,1,Manager
Capo dei Servizi Sanitari,1,Health services chief
Fontamenta S. Felice 3084,1,Address/location
 Silvestro,1,Personal name
Corte Bigaglia,1,Court
Membro commissione,1,Committee member
Lavoratore,1,Worker
Delegato sportivo prov.,1,Sports delegate
Direttore Tecnico Provinciale per l'attività Nautica,1,Nautical technical director
Direttore Tecnico Prov. per l'Atletica Leggera e Tiro alla Fune,1,Athletics technical director
Direttore Tecnico Prov. per il Tamburello - Palla a volo e Pallone a bracciale,1,Sports technical director
Direttore Tecnico Prov. FIGB,1,Technical director FIGB
Presidente Gruppo Prov. Arbitri della F. I G. B.,1,Referee association president
Vice Console onorario,1,Honorary vice consul
Console onorario,1,Honorary consul
Laboratorio Scuola per Falegnami,1,Carpentry school
Corsi vari di istruzione professionale per artigiani e operai in tutto il Veneto,1,Vocational training courses
Ufficio di assistenza economica,1,Economic assistance office
Sezione Autonoma di Credito per le Piccole Industrie e l’Artigianato,1,Credit section for small industries
Ufficio Commissionario Industrie e Artigiane con Mostre campionarie permanenti di prodotti tipici dell’artigianato e delle piccole industrie venete,1,Industry and craft office
Biblioteca di consultazione per artigiani e piccoli industriali (aperto tutti i giorni feriali nelle ore d’Ufficio),1,Artisan consultation library
Scuola: « G. Gozzi »,1,Educational Institution
Scuola: « Giacinto Gallina »,1,Educational Institution
Scuola: S. Maria Formosa,1,Educational Institution
Scuola: Luigi Cadorna,1,Educational Institution
Scuola Michele Renier,1,Educational Institution
Scuola Armando Diaz,1,Educational Institution
Scuola Alfredo Oriani,1,Educational Institution
Scuola A. Scarsellini,1,Educational Institution
Scuola E. De Amicis,1,Educational Institution
Scuola Diedo,1,Educational Institution
Scuola Giudecca,1,Educational Institution
Scuola Marghera,1,Educational Institution
Scuola Catene,1,Educational Institution
Scuola Villabona,1,Educational Institution
Scuola Chirignago,1,Educational Institution
Scuola Asseggiano,1,Educational Institution
ISTIT. MAGISTRALE PARIFICATO,1,Educational Institution
SCUOLA MAGISTRALE RICONOSCIUTA,1,Educational Institution
SCUOLA MEDIA PARIFICATA,1,Educational Institution
ISTITUTO ITALIANO RAVA',1,Educational Institution
ISTITUTO SUORE DI NEVERS,1,Religious Institution
ISTITUTO DELLE SUORE DEL S. CUORE,1,Religious Institution
COLLEGIO ARMENO « M. RAPHAEL »,1,Educational Institution
Conservatore,1,Government/Civic Institution
Direttore onor.,1,Government/Civic Institution
Commiss,1,Government/civic institution
Distribuitore capo,1,Distributor
Vice direttore,1,Administrative role
Assistente alla direzione,1,Administrative role
Assistente alla direzione biblioteca,1,Library assistant
Comitato di Amministrazione,1,Board of Directors
"Uffici Centrali, Aiutanti tecnici",1,"Central Offices, Technical Assistants"
Capo uff. Agrario,1,Agricultural Office Chief
Cancellista capo,1,Chief Clerk
Vice tesoriere,1,Deputy Treasurer
Vice Economo,1,Deputy Economist
Medico dirigente,1,Chief Medical Officer
"Asilo e Morioni n. S. Francesco della Vigna, numero 2951",1,Religious institution
"Ispettore Onorario, prof. Amedeo Gottardi",1,Honorary Inspector
 S. Lorenzo 4978,1,Address/Location
 Rio Terra Farsetti 1848,1,Address/Location
" anche per Giudecca, , ",1,Address/Location
" anche per S. Polo, , ",1,Address/Location
Medico direttore,1,Medical Director
Medico di Sez.,1,Section Doctor
COLONIA ALPINA « S. MARCO »,1,Alpine Colony
"Assistenza infermi a domicilio,  diurna e notturna.",1,Home Nursing Assistance
Primo Procuratore di Chiesa,1,Church Procurator
Infermiere,1,Nurse
Agente principale della Società Autori ed Editori della Agenzia di Venezia,1,Publishing Agency Agent
Fed. Ginnastica d'Italia (FGDI),1,Sports Federation
Fed. It. Pugilato (FIP),1,Sports Federation
Fed. It. Sport Equestri (FISE),1,Sports Federation
Unione It. Tiro a Segno (UITS),1,Shooting Sports Union
"Pres. Reg., Fed. It. Sport Invernali (FISI)",1,Sports federation
Fed. It. Pattinaggio su Ghiaccio,1,Sports organization
Fed. It. Hockey su Ghiaccio,1,Sports organization
presso Lega Reg.,1,Regional League
Dirett. Sport.,1,Sports Directorate
Ispett. di Cantiere,1,Site Inspector
Federazione delle Federazioni Sportive,1,Sports Federation
Fid. Prov. | BICROMIE TRICROMIE FOTOLITO,1,Printing Services
Segretario Tesoriere,1,Secretary Treasurer
Addetto Provinciale,1,Provincial Officer
Sede: Regionale e Provinciale,1,Regional Office
Segretario Politico,1,Political Secretary
Vice Segretario Politico,1,Deputy Political Secretary
Segretario Amministrativo,1,Administrative Secretary
Segretario Federazione Provinciale,1,Provincial Federation Secretary
Vice Segretario Provinciale,1,Deputy Provincial Secretary
Segretario amministrativo,1,Administrative Secretary
segr.,1,Secretary
Bimestrale,1,Publishing
Funzionario concetto,1,Government official
Pittrice,1,Painter
pittrici,1,Painters
"Studio di Ragiione ria, Consulenza ed Assistenza Tributaria. Telef. 28.042.",1,Tax consultancy
MEDICO CHIRURGO,1,Surgeon
IspetL Sanità,1,Health Inspector
Medico Chirurgo,1,Surgeon
Malattie Veneree e della Pelle,1,Medical profession
Osp. Marino,1,Marine Hospital
dirett. Cro-nici,1,Director of Chronicles
Osp. Civ.,1,Civil Hospital
"Carpenedo, Mestre",1,Carpenter
 Venezia,1,Venice
Medicina Interna,1,Internal Medicine
Asp. Civile,1,Civil Service
 Alberoni,1,Alberoni
Docente malattie del bambini,1,Pediatrician
 Città Giardino,1,Garden City
Categoria VIII,1,Category VIII
Combustibili e Carburanti,1,Fuels and Lubricants
Abat jours,1,Lampshades
Abbigliamento per bambini e ragazzi,1,Children's Clothing
Abiti riparazioni,1,Clothing Repairs
Accessori per auto e lubrificanti,1,Auto Accessories
Accumulatóri,1,Accumulators
Acqua di colonia,1,Perfume
Fabbrica Acque Gassate - “Chabeso”,1,Soft Drink Manufacturer
FABBRICA ACQUE GASSATE,1,Soft Drink Manufacturer
compravendita beni agricoli,1,Agricultural Trade
Acquisto Alberghi,1,Hotel Purchase
Affissioni e pubblicità,1,Advertising
Agenzie di traslochi,1,Moving Agency
Agenzia Marittima e Casa di Spedizioni,1,Shipping Agency
Lloyd’s Agen.,1,Shipping Agency
Agenzie di pagno,1,Pawn Shop
Soc. Elenchi Abbonati al Telelef. An.,1,Telephone Directory Service
Agenzie di trasporti,1,Transport Agency
Agricola,1,Agriculture
Alcool denaturato,1,Denatured Alcohol
in Nome coll.,1,Unknown
scambio generi alimentarii,1,Food Exchange
Soc. Coop.,1,Cooperative Society
Armonium,1,Musical Instrument
"Arte veneziana, Fiori e Perle",1,Venetian Art
Articoli da Bagno,1,Bath Products
"Articoli casalinghi e oggetti diversi, Fondamenta Ormesini",1,Household Goods
Lavori Fotografici,1,Photography
Articoli per Fumatori,1,Smoking Accessories
Magazzini della Gomma,1,Rubber Warehouse
Ottica,1,Optician
Articoli di Lusso,1,Luxury Goods
Articoli di Pittura e Disegno,1,Art Supplies
Articoli da Viaggio,1,Travel Goods
Aspirapolvere,1,Vacuum Cleaners
Commercio terreni,1,Real Estate
Automobili,1,Automobiles
Autonoleggi e Autorimesse,1,Car Rentals
"BAULI moderni, solidi, leggeri ed eleganti",1,Modern Trunks
Rappresentante Procuratore Riunione Adriatica di Sicurtà e dell'Assicuratrice Italiana,1,Insurance agency
Avvolgimento Motori,1,Motor Winding
gestione caffè,1,Coffee Management
"locale ideale per il buongustaio, Salone per banchetti e feste danzanti",1,Catering service
Benzina,1,Gasoline
Biancheria per Signora,1,Women's Lingerie
Bigiotterie,1,Costume Jewelry
Fdm. Vetrari,1,Glass Manufacturing
Bronzi,1,Bronze Works
Gerente Baldi Antonio,1,Business Manager
Soc. An.,1,Corporation
"Gran Caffè Bar 900, S. Simeone",1,Café Bar
Calce,1,Lime
Addizionatricei,1,Adding Machines
Calzoleria,1,Shoe Repair
Camicie da uomo,1,Men's Shirts
"""Cantieri Navali""",1,Shipyard
Cantiere Navale e Officine Meccaniche,1,Shipyard and Mechanical Workshops
CANTIERE NAVALE,1,Shipyard
Industrial,1,Industrial
Carboni Fossili e Legna da ardere,1,Fossil Fuels and Firewood
Commercio Carboni e Legna da ardere,1,Coal and Firewood Trade
carboni o legna da ardere,1,Coal or Firewood
Ritratti artistici - Lavori industriali - Reparto eliocinografico - vendita materiale fotocinematografico,1,Artistic Portraits and Industrial Works
Carni equine,1,Horse Meat
Carni conservate,1,Preserved Meats
Carni e Frattaglie cotte,1,Cooked Meats and Offal
Carta da parati e affini,1,Wallpaper and Related
Carte e Stracci per Cartiere,1,Paper and Rags for Paper Mills
Carte da Gioco,1,Playing Cards
CANCELLERIA CARTA E CARTONI,1,Stationery and Paper Products
Cave,1,Quarries
Cementi armati,1,Reinforced Cement
Coloniali,1,Colonial goods
Uffici,1,Offices
San Marco,1,San Marco (likely a reference to a location or institution)
AGENCY,1,Agency
"Compressori, Trapani, Smerigliatrici, Martelli pneumatici",1,Compressors and Power Tools
Concimi azotati,1,Nitrogen Fertilizers
Conserve,1,Preserves
Copisterie,1,Printing
cordami,1,Rope Manufacturing
di Guido Rusconi,1,(Individual Name)
Laboratorio Cornici ed Affini,1,Frame Workshop
Costruzione e gestione alberghi,1,Hotel Management
Fond. Convertite,1,Religious Foundation
Costruzioni stradali e ferroviarie,1,Civil Engineering
Cotoni e cascami,1,Cotton and Waste
"Officina elettrogalvanica, Argentatura, Ramatura, Biancatura, Ossidatura",1,Electroplating Workshop
"FABBRICA - Cucine economiche, Stufe - Letti - Reti - Brande Turche",1,Factory - Economical Kitchens
Negozi: Bottega dell'Elettricità,1,Electrical Shop
Bottega della Luca,1,(Individual Name)
Società An. cuoi artistici Veneziani,1,Artistic Leather Goods
"Stabilimento Serico Velluti, Soprarizzi, Broccati, Damaschi per Arredamento e chiesa. Passamanterie.",1,Silk and Velvet Factory
decoratore in stuepici e costruzioni,1,Decorator
« Decorazione della Casa »,1,Home Decoration
Demolizione Navi,1,Ship Demolition
Denti artificiali,1,Dental Prosthetics
Detective,1,Private Investigator
(fabbriche),1,(Factories)
Disinfestazioni,1,Pest Control
Giornali Riviste,1,Newspapers and Magazines
Divise,1,Divination
Doratura,1,Gilding
Ebanisti,1,Cabinetmaking
produzione distribuzione,1,Production and Distribution
Elettrochimica,1,Electrochemistry
Elettrodomestica,1,Home Appliances
Elettrogalvanica,1,Electrogalvanization
"Impianti e Forniture Industriali e Civili, Riscaldamenti Moderni, Idraulici, Sanitari, Elettricità ed affini",1,Industrial and Civil Supplies
Applicazioni elettroautomatiche impianti terrestri e navali,1,Electroautomatic Applications
Eraclit,1,Unknown
Erbe medicinali,1,Medicinal Herbs
Esercizio caffè,1,Coffee Shop
Essenze spiritose,1,Spirits
Essiccatoi,1,Drying Facilities
v. Principe di Piemonte 10,1,Address
"rag. Severino Sutter, S. Polo 2988",1,Accountant
AFFITTI APPARTAMENTI COMPRA - VENDITA AMMINISTRAZIONE,1,Real Estate Services
Fasite,1,Unknown
STABILIMENTO ELETTRO - MECCANICO PER LA LAVORAZIONE DEL LEGNO,1,Electro-Mechanical Workshop
Comune di S. Elena Gestione Ospedale Civile,1,Civic Hospital Management
pt. Sant' Antonino,1,Address
Internazionale Zamplroni propr. Vianello,1,International Company
Soc. per Az.,1,Joint Stock Company
Soc per Az,1,Joint Stock Company
Ferro battuto,1,Wrought iron
Ferro e metalli da fondere,1,Iron and metals
Fibre autarchiche,1,Autarchic fibers
Fiscoli e dischi per la spremitura delle olive,1,Olive pressing equipment
C. P. 46,1,Unknown
"alluminio, Porto Marghera",1,Aluminum
Foraggi,1,Animal feed
"Importazione, Esportazione Frutta e verdura",1,Import/Export Fruits and Vegetables
Forniture per imbarcazioni,1,Boat supplies
Forniture marittime,1,Maritime supplies
Forniture meccaniche,1,Mechanical supplies
provveditoria marittimo,1,Maritime provisioning
forniture navali,1,Naval supplies
Fotindustria,1,Photography industry
San Luca Calle del Magazen,1,Retail store
Francobolli,1,Stamps
"Bottega della Luce, S. Marco, Calle Goldoni 4511",1,Lighting shop
Gas tossici,1,Toxic gases
Ghiaia,1,Gravel
Gemme per veicoli,1,Vehicle gems
"IMPIANTI E FORNITURE INDUSTRIALI E CIVILI, IN RISCALDAMENTI MODERNI, IDRAULICI, SANITARI, ELETTRICITÀ ED AFFINI, OFFICINA ELETTROME CANICA, SALDATURA AUTOGENA",1,Industrial and civil supplies
IMBALLAGGI IN LEGNO,1,Wooden packaging
LEGNAME E IMBALLAGGI,1,Timber and packaging
"__SECTION__,,Imberchi e sbarchi""",1,Shipping and landings
Impianti condizionamento d’aria,1,Air conditioning
Impianti costruzioni elettriche,1,Electrical construction
Impianti riscaldamento,1,Heating systems
San Lio,1,Religious institution
Impianti Telefonici Automatici interni,1,Telephone systems
Officina,1,Workshop
ZAGO F. LLI,1,Unknown (possibly a company name)
Imposte di consumo,1,Taxation
Fornitura per lavori ed opera edilizia stradali,1,Road construction supplies
manutenzione strade ferrate,1,Railway maintenance
costruzioni ferroviarie,1,Railway construction
COSTRUZIONI PONTILI E OPERE PORTUALI,1,Port construction
Impresa Lavori Edili e Marittimi,1,Maritime construction company
OFFICINA RIPARAZIONI,1,Repair workshop
Terragliole,1,Unknown (possibly a company name)
Porto Industriale,1,Industrial port
"Impresa Costruzioni Edilizie, Lavori edilizi in cemento armato, ferro e legno",1,Building construction
Pavimentazione rivestimenti murale vetrosi,1,Flooring and wall coverings
Schedari - Mobili per Uffici - Macchine Contabili,1,Office furniture and equipment
Commercio Filande per la trattatura della seta,1,Silk processing trade
Imprese lavori,1,Construction companies
Imprese e pompe funebri,1,Funeral services
Inchiostri,1,Inks
Agente per il Veneto: S. A. Supper Lux,1,Agent for lighting
Insetticidi,1,Insecticides
Installazioni elettriche ed idrauliche e vendita materiale elettrico,1,Electrical and plumbing installations
Arti Grafiche Esperia,1,Graphic arts
Banco,1,Bank
Banco di Interesse Nazionale,1,National interest bank
Lanerìe e seterie,1,Wool and silk
Ne gropente,1,Unknown
Vetrai 74,1,Glassmakers
Lavorazione marmi,1,Marble processing
Lavori pubblici in genere,1,Public works
Legna (ingrosso),1,Firewood wholesale
La Mercantile Azienda Veneta Rappresentanze Commerciali Industriali,1,Commercial representation
Legnami di sfacimento,1,Timber
"Carboni fossili, Ligniti legna da ardere",1,Fossil fuels
Legumi,1,Legumes
"Ritratti artistici, Lavori industriali, Reparto elinocianografico, vendita materiale ft. ocinematografico",1,Artistic portraits and film materials
Lievito,1,Yeast
Linifici,1,Linen production
"Vini, Liquori, Alimentari, Rappresentanze e Depositi",1,Wine and food distribution
Macchine e accessori,1,Machinery and accessories
Macellazione,1,Butchery
Bestimare ed esercizio macellere,1,Meat processing
Magazzini di deposito,1,Warehousing
Maioliche artistiche,1,Artistic ceramics
Malto,1,Malt
INSETTICIDA,1,Pest control
Arte Monumentaria,1,Monumental art
Materiale cinematografico,1,Film materials
"Impresa Edile, Costruzioni In Cemento",1,Construction company
Materiali da costruzione,1,Building materials
Manufatti in cemento,1,Cement products
Materiale ferroviario,1,Railway materials
Materiali plastici,1,Plastic materials
Materiali radio elettrici,1,Electrical materials
Materiali siderurgici,1,Steel materials
Materiali tecnici e per la ricostruzione,1,Technical materials
prime per celerie,1,Grocery supplies
Materie resìnose,1,Resin materials
Meccanica di precisione,1,Precision mechanics
"Rappresentanza di case produttrici di medicinali, prodotti dietetici, chimici, sanitari, igienici, ortopedici, galenici",1,Pharmaceutical representation
Medicinali,1,Pharmaceuticals
"Ricami artisti a mano, Laboratorio proprio, Negozio di vendita",1,Hand embroidery
"Reparto di cinografico, vendita materie fotocinematografiche",1,Film equipment sales
Metalli lavorati e bronzi,1,Processed metals
Premiato Mobilificio,1,Furniture factory
FABBRICA,1,Factory
ARREDAMENTI NEGOZI,1,Store furnishings
Costruzioni Edili,1,Building construction
Molini,1,Mills
Modelli abiti signora,1,Women's clothing models
Mosaici,1,Mosaics
Motori,1,Motors
"Sestri, Agenzia di Padova: Ditta Michele Trappetti. Corso del Popolo, 1, Telefono: 24-587. Motori Diesel ad iniezione meccanica per impianti fissi e marini, Motori a gasogeno.",1,Diesel Engines
Nichelatura,1,Nickel Plating
Officine per carica accumulatori,1,Battery Workshops
Officine industria alluminio,1,Aluminum Industry
Officina Meccanica e Fabbrile con Torneria,1,Mechanical Workshop
Officine meccaniche e saldature,1,Mechanical Engineering
Oggetti preziosi ed affini,1,Precious Objects
Olive,1,Olives
affitti appartamenti vuoti e ammobilitati,1,Apartment Rentals
Orologi,1,Watchmaking
Unica Premiara Ditta di Palloncini alla Veneziana,1,Party Supplies
Palombari,1,Divers
Panelli,1,Panels
Paraffina,1,Paraffin
"Pasticcerie, Liquori, Vini",1,Pastry and Liquor
selciatura e pavimentazione stradale,1,Road Paving
Pellami e cuoi,1,Leather Goods
Commerciale cuci artistici Veneziani,1,Artistic Sewing
Confezioni Pelliccerie,1,Fur Clothing
Penna,1,Pens
"Pellestrina, S. Pietro in Volta",1,Religious Institution
Pianoforti,1,Pianos
Pianoforti di tutte le marche,1,Pianos
Piloti,1,Pilot services
Porcellane,1,Porcelain
recuperi,1,Recovery services
per L'industria Mineraria ed agricola,1,Mining and agriculture
(commercio),1,Commerce
s.r.l.,1,Limited liability company
Prodotti coloranti,1,Coloring products
Prodotti industriali,1,Industrial products
Prodotti vetrari,1,Glass products
Lavorazione profumerie,1,Perfume processing
Quadri di manovra e commando,1,Control panels
Recordi ferroviari,1,Railway records
Radiotecnico,1,Radio technician
"RADIORIPARAZIONI A DOMICILIO, NOLEGGIO RADIOGRAMMFONI",1,Home radio repairs
Concessionario Marelli,1,Marelli dealer
Phonola radio,1,Phonola radio
Rodio,1,Rhodium
"Riparazioni radiorecivitori normali e speciali - altoparlanti - microfoni, pick ups, ecc.",1,Radio repairs
S. A. Fondiaria Italiana,1,Italian insurance company
Cast. 3133,1,Cast. 3133
Radiomeccanica,1,Radio mechanics
S. in nome collettivo,1,Collective partnership
Società per Azioni,1,Joint stock company
