profession,frequency,cluster_id,category_name
Suaege,1,3,
"DOGANA,",1,3,"Government, military & public administration"
Categoria IX,1,3,Industrial & construction trades
Categoria VII,1,3,Retail trade & consumer goods
Rk. PP. Armeni Mechitaristi,1,3,Religious & civic institutions
monista,1,3,Education & academic institutions
Federaz. Cooperative,1,3,Industrial & construction trades
orologie,1,3,Retail trade & consumer goods
Anatomia,1,3,Education & academic institutions
Medicina generale,217,4,Medical professions
Rappresentante di case produttrici di medicinali,186,4,Medical professions
Farmacista,123,4,Medical professions
Farmacisti,46,4,Medical professions
Veterinario,27,4,Medical professions
Gabinettl dentistici,21,4,Medical professions
medicina generale,15,4,Medical professions
ostetrica,7,4,Medical professions
farmacista,5,4,Medical professions
dottore,3,4,Medical professions
Ospedale Civile,3,4,Medical professions
dr.,3,4,Medical professions
Medico,2,4,Medical professions
"Dott. Medicina,",2,4,Medical professions
dentista,2,4,Medical professions
medico chirurgo,2,4,Medical professions
"Direttore sanitario,",1,4,Medical professions
"Assistenza infermi a domicilio,  diurna e notturna.",1,4,Medical professions
MEDICO CHIRURGO,1,4,Medical professions
Specialista Malattie Pelle e Veneree,1,4,Medical professions
IspetL Sanità,1,4,"Government, military & public administration"
Medico Chirurgo,1,4,Medical professions
"Medicina interna, Specialista Malattie Polmonari",1,4,Medical professions
Medicina Interna,1,4,Medical professions
Docente malattie del bambini,1,4,Medical professions
 Medio acg. dr. Ulisse Camalfi. Consulente ordinario dr. Tancredi Cortei,1,4,Medical professions
ed L. Merline e C.,1,4,Industrial & construction trades
Clinica,1,4,Medical professions
farmacia,1,4,Medical professions
Ispett. Sanità,1,4,"Government, military & public administration"
"Direttto: Prof. dr. ing.,",1,4,Medical professions
"Gr. uff, dr. arch., ",1,4,Medical professions
Mdico-Direttore,1,4,Medical professions
Medico Chirurgo Ostetrico,1,4,Medical professions
Specialista Malattie Lattanti e Bambini,1,4,Medical professions
dott.,1,4,Medical professions
Medicina Generale,1,4,Medical professions
medico pediatra,1,4,Medical professions
colonnello medico,1,4,Medical professions
rappresentante dei medici,1,4,Medical professions
rappresentante dei veterinari,1,4,Medical professions
Sezione specializzata di Zootecnia,1,4,Medical professions
Ingegneri,32,5,Industrial & construction trades
Archivio di Stato,18,5,"Government, military & public administration"
"SCIENTIFICA E MAGISTRALE,",17,5,Education & academic institutions
Meccanica,9,5,Industrial & construction trades
Chimica,4,5,Industrial & construction trades
Personale degli Uffici - Segreteria della Sezione di Economia e Commercio,4,5,"Legal, economic & administrative professions"
"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",4,5,"Legal, economic & administrative professions"
Economo,3,5,"Legal, economic & administrative professions"
Tribunale Civile e Penale,3,5,"Legal, economic & administrative professions"
Geografia economica,3,5,"Legal, economic & administrative professions"
Economia politica,3,5,"Legal, economic & administrative professions"
Educazione fisica,3,5,Education & academic institutions
commercialista,2,5,"Legal, economic & administrative professions"
Ragioneria generale ed applicata,2,5,"Legal, economic & administrative professions"
Politica economica e finanziaria,2,5,"Legal, economic & administrative professions"
Diritto del lavoro,2,5,"Legal, economic & administrative professions"
Diritto amministrativo,2,5,"Legal, economic & administrative professions"
Diritto processuale civile,2,5,"Legal, economic & administrative professions"
"Applicato, ",2,5,"Legal, economic & administrative professions"
I. Ragioniere,2,5,"Legal, economic & administrative professions"
Divisione I.a,2,5,"Legal, economic & administrative professions"
"ISPETTORATO COMPARTIMENTALE DELLE IMPOSTE DIRETTE,",1,5,"Government, military & public administration"
"ISPETTORATO COMPARTIMENTALE DELLE TASSE E DELLE IMPOSTE INDIRETTE SUGLI AFFARI,",1,5,"Government, military & public administration"
"UFFICIO TECNICO ERARIALE,",1,5,"Government, military & public administration"
Ufficio di assistenza economica,1,5,"Government, military & public administration"
ISTIT. MAGISTRALE PARIFICATO,1,5,Education & academic institutions
Perito industriale,1,5,Industrial & construction trades
Asp. Civile,1,5,"Legal, economic & administrative professions"
Sostituto Proc. Tribunale Civile e Penale,1,5,"Legal, economic & administrative professions"
esercizi,1,5,"Legal, economic & administrative professions"
dell' Archivio dello Stato,1,5,"Government, military & public administration"
Economo Provinciale,1,5,"Legal, economic & administrative professions"
Uff. Prov. Statistica Economica Agricola,1,5,"Legal, economic & administrative professions"
Divisione Ragioneria,1,5,"Government, military & public administration"
economo,1,5,"Legal, economic & administrative professions"
 scientifica,1,5,"Legal, economic & administrative professions"
 Macchine Contabili,1,5,"Legal, economic & administrative professions"
Divisione tecnologica,1,5,Industrial & construction trades
Sezione Terraferma,1,5,"Government, military & public administration"
Economato,1,5,"Legal, economic & administrative professions"
Archivio e Affari generali,1,5,"Government, military & public administration"
Storia economica,1,5,"Legal, economic & administrative professions"
Diritto commerciale,1,5,"Legal, economic & administrative professions"
Statistica,1,5,"Legal, economic & administrative professions"
Tecnica industriale e commerciale,1,5,"Legal, economic & administrative professions"
Scienza delle finanze e diritto finanziario,1,5,"Legal, economic & administrative professions"
Economie e politica agraria,1,5,"Legal, economic & administrative professions"
Tecnica del commercio internazionale,1,5,"Legal, economic & administrative professions"
Diritto internazionale,1,5,"Legal, economic & administrative professions"
Diritto della navigazione,1,5,"Legal, economic & administrative professions"
Matematica generale e di Matematica finanziaria,1,5,"Legal, economic & administrative professions"
Tecnica bancaria e professionale,1,5,"Legal, economic & administrative professions"
Istituzioni di diritto pubblico,1,5,"Legal, economic & administrative professions"
Istituzioni di diritto privato,1,5,"Legal, economic & administrative professions"
Demografia generale,1,5,"Legal, economic & administrative professions"
Diritto aeronautico,1,5,"Legal, economic & administrative professions"
Statistica economica,1,5,"Legal, economic & administrative professions"
Storia economica (incar.),1,5,"Legal, economic & administrative professions"
Statistica (incar.),1,5,"Legal, economic & administrative professions"
Ragioneria generale ed applicata (id.),1,5,"Legal, economic & administrative professions"
Diritto pubblico (id.),1,5,"Legal, economic & administrative professions"
Diritto privato (incar.),1,5,"Legal, economic & administrative professions"
Scienze delle ze e diritto finanziario (incar.),1,5,"Legal, economic & administrative professions"
Economia politica (id.),1,5,"Legal, economic & administrative professions"
Matematica finanziaria (id.),1,5,"Legal, economic & administrative professions"
Geografia,1,5,"Legal, economic & administrative professions"
Diritto e procedura penale,1,5,"Legal, economic & administrative professions"
Storia delle dottrine economiche,1,5,"Legal, economic & administrative professions"
Contabilita di Stato,1,5,"Legal, economic & administrative professions"
Diritto civile,1,5,"Legal, economic & administrative professions"
Elementi di diritto e procedura penale,1,5,"Legal, economic & administrative professions"
Tecnica amministrativi delle aziende industriali,1,5,"Legal, economic & administrative professions"
Tecnica commerciale e bancaria,1,5,"Legal, economic & administrative professions"
Elementi di diritto processuale civile,1,5,"Legal, economic & administrative professions"
"Ragioneria generale applicata, Economia aziendale",1,5,"Legal, economic & administrative professions"
Laboratorio di Merceologia e Museo merceologico,1,5,"Legal, economic & administrative professions"
Laboratorio di Geografia economica,1,5,"Legal, economic & administrative professions"
Laboratorio di Economia politica — Francesco Ferrera,1,5,"Legal, economic & administrative professions"
Laboratorio di Politica economica e finanziari,1,5,"Legal, economic & administrative professions"
Laboratorio di Scienza delle finanze e diritto finanziario,1,5,"Legal, economic & administrative professions"
"per Mineralogia e geologia, ",1,5,"Legal, economic & administrative professions"
"per Chimica generale ed applicata, ",1,5,"Legal, economic & administrative professions"
"per impianti tecnici, Estimo ed esercizio professionale, ",1,5,"Legal, economic & administrative professions"
"per Meccanica razionale e statistica grafica, ",1,5,"Legal, economic & administrative professions"
"per Fisica, Fisica tecnica, ",1,5,"Legal, economic & administrative professions"
"per analisi matematica e geometria analitica (2.0 anno), ",1,5,"Legal, economic & administrative professions"
"per Analisi matematica e geometria analitica (1.0 anno), Topografia e costruzioni stradali, ",1,5,"Legal, economic & administrative professions"
"per Carattei; distributivi degli edifici, Urbanistica, ",1,5,"Legal, economic & administrative professions"
"Francese, Matematica",1,5,"Legal, economic & administrative professions"
Scienze e Matematica,1,5,"Legal, economic & administrative professions"
Diritto Canonico,1,5,"Legal, economic & administrative professions"
Bimestrale,1,5,"Legal, economic & administrative professions"
Esportazioni,1,5,"Legal, economic & administrative professions"
Categoria XXII,1,5,"General commerce, real estate & advertising"
esperto materie amministrative,1,5,"Legal, economic & administrative professions"
esperto scienze guerriere,1,5,"Government, military & public administration"
ISTITUTO NAZIONALE PER IL COMMERCIO ESTERO,1,5,"Legal, economic & administrative professions"
Divisione II.a,1,5,"Government, military & public administration"
Divisione III.a,1,5,"Government, military & public administration"
Maggiore di P.S. in S.P.E.,1,5,"Government, military & public administration"
Matematica e fisica,1,5,"Legal, economic & administrative professions"
Scienze naturali chimica e geografia,1,5,"Legal, economic & administrative professions"
segretario Istituto Univers. di Economia e Commercio,1,5,"Legal, economic & administrative professions"
Ragioniere,22,6,Governance & administrative titles
Consigliere,20,6,Governance & administrative titles
Segretario,14,6,Governance & administrative titles
vice direttore,13,6,Governance & administrative titles
SUDDIVISIONE DEGLI UFFICI,10,6,"Government, military & public administration"
Comitato esecutivo,8,6,Governance & administrative titles
Consiglio Direttivo,8,6,Governance & administrative titles
avv.,8,6,"Legal, economic & administrative professions"
Direttore,7,6,Governance & administrative titles
presso Camera del Lavoro,5,6,"Legal, economic & administrative professions"
Ispettore Capo,5,6,Governance & administrative titles
professore,5,6,Education & academic institutions
Vice Presidente,4,6,Governance & administrative titles
Consigliere Municipale,4,6,Governance & administrative titles
Tesoriere,3,6,Governance & administrative titles
Questura,3,6,"Government, military & public administration"
vicario,3,6,Religious & civic institutions
Commissario,3,6,"Government, military & public administration"
Mediatore,3,6,"Legal, economic & administrative professions"
Ispett. Capo,3,6,Governance & administrative titles
Giornalista professionista,3,6,"Institutions, press & sport"
Ufficio Politico,3,6,"Government, military & public administration"
Deputato,2,6,Governance & administrative titles
Comm. Capo,2,6,Governance & administrative titles
consigliere effettivo,2,6,Governance & administrative titles
Assistente,2,6,Governance & administrative titles
Ragionieri capi sezione,2,6,Governance & administrative titles
"Consigliere, ",2,6,Governance & administrative titles
Category: Comunicazioni interne,2,6,"Transport, maritime & communications"
Sindaco,2,6,Governance & administrative titles
Condirettore,2,6,Governance & administrative titles
Rettore,2,6,Governance & administrative titles
Vice Direttore,2,6,Governance & administrative titles
Deputato dell'Amministrazione della Provincia,2,6,Governance & administrative titles
Avvocato,2,6,"Legal, economic & administrative professions"
DIREZIONE LAVORI E SERVIZI PUBBLICI,2,6,"Government, military & public administration"
" Titolare Procuratore, ",2,6,Governance & administrative titles
Capitano di P.S. in S.P.E.,2,6,"Government, military & public administration"
" Capo Ufficio, ",1,6,Governance & administrative titles
"Primo Assistente, ",1,6,Governance & administrative titles
Direttore Regionale,1,6,Governance & administrative titles
Segretario Regionale,1,6,Governance & administrative titles
Lavoratore,1,6,Governance & administrative titles
Sovrintendente,1,6,Governance & administrative titles
Direttore onor.,1,6,Governance & administrative titles
Segretario Direttore generale,1,6,Governance & administrative titles
Vice Segret. Direttore Generale,1,6,Governance & administrative titles
Ragioniere Capo,1,6,Governance & administrative titles
Vice rag. capo,1,6,Governance & administrative titles
Capo uff. Tecnico,1,6,Governance & administrative titles
"Uffici Centrali, Aiutanti tecnici",1,6,Governance & administrative titles
Capo uff. Agrario,1,6,Governance & administrative titles
Cancellista capo,1,6,Governance & administrative titles
Vice tesoriere,1,6,Governance & administrative titles
Vice Economo,1,6,Governance & administrative titles
"Ispettore Onorario, prof. Amedeo Gottardi",1,6,Governance & administrative titles
"Consigliere,",1,6,Governance & administrative titles
"Direttore amministrativo, ",1,6,Governance & administrative titles
"Segretario, ",1,6,Governance & administrative titles
Segretario Tesoriere,1,6,Governance & administrative titles
Rappresentante cingalmerie,1,6,"Legal, economic & administrative professions"
Commissariato,1,6,Governance & administrative titles
Gerente,1,6,Governance & administrative titles
Surrogati,1,6,Governance & administrative titles
Rapprcsentanti e A.,1,6,"Legal, economic & administrative professions"
Consigliere Segr.,1,6,Governance & administrative titles
condirettore,1,6,Governance & administrative titles
Capo Divisione prima,1,6,Governance & administrative titles
deputato Amminist. della Provincia,1,6,Governance & administrative titles
Procuratore Tribunale dei Minorenni,1,6,"Legal, economic & administrative professions"
"Uff. Supelivo - Addetto, Legione Ferr. della Guardia di Finanza",1,6,"Government, military & public administration"
Ispettore Istituto Aut. per le case popolari,1,6,"Government, military & public administration"
Direzione Marittima e Gabinetto,1,6,"Transport, maritime & communications"
Ass. Naz. Combattenti,1,6,"Government, military & public administration"
ragioniere,1,6,Governance & administrative titles
commissario,1,6,"Government, military & public administration"
capitano,1,6,"Government, military & public administration"
Segretario (gruppo viaggiatori),1,6,Governance & administrative titles
Comm. Agg. dirigente,1,6,Governance & administrative titles
gestione SPES,1,6,Governance & administrative titles
Direttore Consorzio Agrario Cooperativo,1,6,Governance & administrative titles
Vice comm. Agg. dirigente Commissariato di,1,6,Governance & administrative titles
 Segnalazioni,1,6,Governance & administrative titles
Professore,1,6,Education & academic institutions
Corpo del Genio Civile,1,6,"Government, military & public administration"
Comandante Comando Gruppo Agenti P. Sicurezza,1,6,"Government, military & public administration"
Segretario Tribunale dei Minorenni,1,6,"Legal, economic & administrative professions"
Uff. pagat. Legione Territ. Guardia di Finanza,1,6,"Government, military & public administration"
Aiutante Magg. della Guardia di Finanza,1,6,"Government, military & public administration"
"C, Reparto Uff. personale Ferrovie dello Stato, Direzione",1,6,"Transport, maritime & communications"
Segret. Capo Sez. Amministrativa,1,6,Governance & administrative titles
Comm. Aggi. dirigente,1,6,Governance & administrative titles
Conduttore,1,6,Governance & administrative titles
Giudice,1,6,"Legal, economic & administrative professions"
Vice Direttore Banca di Roma,1,6,"Legal, economic & administrative professions"
Tribunale dei Minorenni,1,6,"Legal, economic & administrative professions"
soprintendente,1,6,Governance & administrative titles
segretario,1,6,Governance & administrative titles
Ass. Commercianti,1,6,"Legal, economic & administrative professions"
Direttore Gener.,1,6,Governance & administrative titles
Addetto Sviarda Naobile,1,6,Governance & administrative titles
Segretario Ispet. Ispt. Circoscrizione Doganale,1,6,"Government, military & public administration"
presidi,1,6,Governance & administrative titles
" ""Consigliere Municipale""",1,6,Governance & administrative titles
Capitano,1,6,"Government, military & public administration"
Vicario S. Andrea Apostolo,1,6,Religious & civic institutions
Vice Ispet. di Zona,1,6,Governance & administrative titles
Ingegn. Primo n° 7,1,6,Industrial & construction trades
Questore,1,6,"Government, military & public administration"
Segretario della (FIDAL),1,6,Governance & administrative titles
mediatori generali,1,6,"Legal, economic & administrative professions"
mediatore,1,6,"Legal, economic & administrative professions"
Capo Uff.,1,6,Governance & administrative titles
Rappresentante e Depositi,1,6,"Legal, economic & administrative professions"
 Direzione S. Lucis,1,6,Governance & administrative titles
Capo uff. Amministr.,1,6,Governance & administrative titles
Ass. dei Commercianti,1,6,"Legal, economic & administrative professions"
Pres. Reg. della (F.I.S.I.),1,6,Governance & administrative titles
Uffici Centrali dell'Amministrazione della Provincia,1,6,Governance & administrative titles
Sindaco Assist. Naz. Combattenti,1,6,"Government, military & public administration"
Tribunale del Minorenni,1,6,"Legal, economic & administrative professions"
Consigliere (TELVE),1,6,Governance & administrative titles
 Invest. Legione Territ. Guardia di Finanza,1,6,Governance & administrative titles
Capo Tecnico,1,6,Governance & administrative titles
 Guardia di Finanza,1,6,Governance & administrative titles
Vice Direttore Manifattura Tabacchi,1,6,Industrial & construction trades
Prosindaco del Municipio,1,6,"Government, military & public administration"
Assistente del Genio Civile,1,6,Governance & administrative titles
V. Direttore del A. C.N.I.L.,1,6,Governance & administrative titles
Direttore aggiunto Banca di Napoli,1,6,"Legal, economic & administrative professions"
Capo Div. Direzione Ragioneria e tributi,1,6,Governance & administrative titles
S. Capu di Stato Magg.,1,6,Governance & administrative titles
Primo Segretario Uffici Centrali dell'Amministrazione della Provincia,1,6,Governance & administrative titles
 Camera ricorso Legione Territ. Guardia di Finanza,1,6,Governance & administrative titles
Ispett. Reg.,1,6,Governance & administrative titles
 interni,1,6,Governance & administrative titles
Ispettore Tecnico del movimento postale,1,6,Governance & administrative titles
Ass. Naz . Reduci,1,6,"Government, military & public administration"
 Uff. Regionale di Coordinamento,1,6,Governance & administrative titles
Sindaco effettivo Banca Veneziana di Crediti e Conti Correnti,1,6,"Legal, economic & administrative professions"
Sezione Amministrativa,1,6,Governance & administrative titles
Comando Vigili,1,6,"Government, military & public administration"
"UFFICIO IMPOSTA GENERALE SULL'ENTRATA,",1,6,"Government, military & public administration"
"Conservatore, ",1,6,Governance & administrative titles
"DIREZIONE SUPERIORE DI DOGANA,",1,6,Governance & administrative titles
I. f. Ufficiale,1,6,Governance & administrative titles
Sezioni Provinciali Proprietari Conduttori,1,6,Governance & administrative titles
Proprietari con beni affittati,1,6,Governance & administrative titles
Affittuari Conduttori,1,6,Governance & administrative titles
Dirigente di aziende,1,6,Governance & administrative titles
"Primo Ragioniere con funzioni di Direttore Amministrativo, ",1,6,Governance & administrative titles
Direttore dell’Osservatorio,1,6,Governance & administrative titles
Membro effettivo; Commissario straordinario per la Presidenza,1,6,Governance & administrative titles
Capo Divisione,1,6,Governance & administrative titles
 Direttore,1,6,Governance & administrative titles
Segretario-Economo,1,6,Governance & administrative titles
Vice segretaria,1,6,Governance & administrative titles
Canonici residenziali (arcidiacono prima dignità),1,6,Religious & civic institutions
Cappellano,1,6,Religious & civic institutions
"Revisore Ufficiale dei Conti, Amministratore Giudiziario, Consulenza e Assistenza Tributaria, Economico, Commerciale, Ragioneristica",1,6,Governance & administrative titles
Ispettore,1,6,Governance & administrative titles
Ufficio Tecnico dell'Amministrazione della Provincia,1,6,Governance & administrative titles
Commissione Direttiva del Circolo Artistico,1,6,Religious & civic institutions
Presidente del Casinò di Commercio,1,6,Religious & civic institutions
V. Presidente Ass. Inquilini e Senza Tetto,1,6,Governance & administrative titles
"Direttore, ",1,6,Governance & administrative titles
"UFFICIO DEL REGISTRO ATTI CIVILI,",1,6,"Government, military & public administration"
"UFFICIO REGISTRO ATTI GIUDIZIARI E CONCESSIONI GOVERNATIVE,",1,6,"Government, military & public administration"
"UFFICIO DEL REGISTRO SUCCESSIONI E DEMANIO,",1,6,"Government, military & public administration"
"UFFICIO IMPOSTA IN SURROGAZIONE,",1,6,"Government, military & public administration"
"ISPETTORATO COMPARTIMENTALE DELLE DOGANE,",1,6,"Government, military & public administration"
" 1. Procuratore, ",1,6,Governance & administrative titles
" Procuratore Capo, ",1,6,Governance & administrative titles
 Titolare Procuratore,1,6,Governance & administrative titles
Sovraintendente,1,6,Governance & administrative titles
Vicario,1,6,Religious & civic institutions
gestione tCSAn,1,6,Governance & administrative titles
Amministratore,1,6,Governance & administrative titles
 Atti giud. e conlesso governativo,1,6,Governance & administrative titles
Comandante del Porto Capitano uffi Porto,1,6,"Transport, maritime & communications"
Vice Prefetto ispett.,1,6,"Government, military & public administration"
Consigliere di l. classe,1,6,Governance & administrative titles
V. Prefetto Ispett.,1,6,"Government, military & public administration"
Vice Prefetto Ispett.,1,6,"Government, military & public administration"
Consigliere di I. cl.,1,6,Governance & administrative titles
Consigliere i. cl.,1,6,Governance & administrative titles
rappresentante esercenti cinema e teatri,1,6,"Visual, decorative & graphic arts"
Seconda Divisione,1,6,Governance & administrative titles
Commissariato di Castello,1,6,Governance & administrative titles
Capo di Gruppo o Categoria,1,6,Governance & administrative titles
Lavorazione artistica mosaici in smalto di vetro Veneziano,169,7,"Visual, decorative & graphic arts"
ARTI GRAFICHE ESPERIA,91,7,"Visual, decorative & graphic arts"
pittore,67,7,"Visual, decorative & graphic arts"
illuminazione pubblica,65,7,"Government, military & public administration"
PROFESSIONISTI E ARTISTI,41,7,"Visual, decorative & graphic arts"
Ing. A. Carretta e Geom. M. Monopoli,33,7,Industrial & construction trades
Geometra,23,7,Industrial & construction trades
BICROMIE TRICROMIE FOTOLITO,19,7,"Visual, decorative & graphic arts"
Pittore,14,7,"Visual, decorative & graphic arts"
dettaglio,9,7,Retail trade & consumer goods
scultore,8,7,"Visual, decorative & graphic arts"
pittrice,7,7,"Visual, decorative & graphic arts"
Figura disegnata,4,7,"Visual, decorative & graphic arts"
 riproduzioni ed oggetti artistici,2,7,"Visual, decorative & graphic arts"
"di Elementi di architettura e rilievo dei monumenti, ",2,7,"Visual, decorative & graphic arts"
Pittura,2,7,"Visual, decorative & graphic arts"
Ornato disegnato,2,7,"Visual, decorative & graphic arts"
Figura e ornato modellato,2,7,"Visual, decorative & graphic arts"
Pittrice,1,7,"Visual, decorative & graphic arts"
Scultore,1,7,"Visual, decorative & graphic arts"
 Pietto in Volta,1,7,"Visual, decorative & graphic arts"
stuccchi edile,1,7,"Visual, decorative & graphic arts"
pittore decoratore,1,7,"Visual, decorative & graphic arts"
di Indri Giovanni,1,7,
 Dettaglio,1,7,"Visual, decorative & graphic arts"
Geometra principale del,1,7,Industrial & construction trades
Incisioni,1,7,"Visual, decorative & graphic arts"
 oggetti artistici,1,7,"Visual, decorative & graphic arts"
 stampe,1,7,"Visual, decorative & graphic arts"
 Incisioni,1,7,"Visual, decorative & graphic arts"
 fotografi,1,7,"Visual, decorative & graphic arts"
Ingegnero,1,7,Industrial & construction trades
 maioliche artistiche,1,7,"Visual, decorative & graphic arts"
Geometra principale del Genio Civile,1,7,Industrial & construction trades
Rappresentanze varie,1,7,"Visual, decorative & graphic arts"
 riproduzioni quadri,1,7,"Visual, decorative & graphic arts"
architetto,1,7,"Visual, decorative & graphic arts"
"terraglie, porcellane",1,7,"Visual, decorative & graphic arts"
"di Scienza delle costruzioni, ",1,7,"Visual, decorative & graphic arts"
"per Tecnologia dei materiali e tecnica delle costruzioni, ",1,7,"Visual, decorative & graphic arts"
"per Caratteri stilistici e costruttivi dei monumenti, ",1,7,"Visual, decorative & graphic arts"
"per Matere i radiche, ",1,7,"Visual, decorative & graphic arts"
"per Storia dell'arte e storia e stili dell'arch., ",1,7,"Visual, decorative & graphic arts"
"per Architettura degli interni, arredamento e decorazione, ",1,7,"Visual, decorative & graphic arts"
"per Applicazioni di geometria descrittiva, Elementi di composizione, ",1,7,"Visual, decorative & graphic arts"
"per Composizione architettonica, ",1,7,"Visual, decorative & graphic arts"
"per Restauro dei monumenti, ",1,7,"Visual, decorative & graphic arts"
"per Plastica ornamentale, ",1,7,"Visual, decorative & graphic arts"
"per Decorazione, ",1,7,"Visual, decorative & graphic arts"
"per Geometria descrittiva ed elementi di protettiva, ",1,7,"Visual, decorative & graphic arts"
"per Elementi costruttivi, ",1,7,"Visual, decorative & graphic arts"
"per Disegno dal vero, ",1,7,"Visual, decorative & graphic arts"
"di Composizione architettonica, ",1,7,"Visual, decorative & graphic arts"
di Scienza delle costruzioni,1,7,"Visual, decorative & graphic arts"
Scultura,1,7,"Visual, decorative & graphic arts"
"Cartotecnica, Tipografa",1,7,"Visual, decorative & graphic arts"
photoengraving,1,7,"Visual, decorative & graphic arts"
 riproduzioni di oggetti artistici,1,7,"Visual, decorative & graphic arts"
arte antica,1,7,"Visual, decorative & graphic arts"
Decorazione,1,7,"Visual, decorative & graphic arts"
Tecniche dell'incisione,1,7,"Visual, decorative & graphic arts"
Plastica Ornamentale,1,7,"Visual, decorative & graphic arts"
Storia dell’arte,1,7,"Visual, decorative & graphic arts"
Architettura,1,7,"Visual, decorative & graphic arts"
Architettura disegno geometrico e prospettiva,1,7,"Visual, decorative & graphic arts"
Ornato modellato,1,7,"Visual, decorative & graphic arts"
Storia dell'arte,1,7,"Visual, decorative & graphic arts"
CIRCOLO FILOLOGICO,11,8,Education & academic institutions
Personale degli Uffici - Segreteria della Sezione di Lingue e letterature straniere,10,8,Education & academic institutions
Lingua tedesca,4,8,Education & academic institutions
Biblioteca,3,8,Education & academic institutions
Lingua inglese,3,8,Education & academic institutions
Lingua francese,3,8,Education & academic institutions
Biblioteca Marciana,2,8,Education & academic institutions
Lingua e letteratura francese,2,8,Education & academic institutions
Lingua e letteratura spagnola,2,8,Education & academic institutions
Lingua e letteratura tedesca,2,8,Education & academic institutions
Lingua spagnola,2,8,Education & academic institutions
Lettere (ginnasio),2,8,Education & academic institutions
lettere (ginnasio),2,8,Education & academic institutions
teatro,2,8,"Visual, decorative & graphic arts"
Leggere e rapide,1,8,Education & academic institutions
Lingua e letteratura italiana,1,8,Education & academic institutions
Storia,1,8,Education & academic institutions
Filologia romanza,1,8,Education & academic institutions
Lingua serbo-croata,1,8,Education & academic institutions
Lingua e letteratura russa,1,8,Education & academic institutions
Filologia germanica,1,8,Education & academic institutions
Lingua e letteratura inglese,1,8,Education & academic institutions
Storia della filosofia,1,8,Education & academic institutions
Pedagogia,1,8,Education & academic institutions
Filosofia,1,8,Education & academic institutions
Lingua e letteratura latina,1,8,Education & academic institutions
Glottologia romanza,1,8,Education & academic institutions
Lingua russa,1,8,Education & academic institutions
Lingua rumena,1,8,Education & academic institutions
"per Letteratura italiana, ",1,8,Education & academic institutions
Storia Ec. Ebraico,1,8,Education & academic institutions
"Patrologia, Arte, Eloquenza",1,8,Education & academic institutions
"italiano (liceo), Storia",1,8,Education & academic institutions
sacra liturgia,1,8,Education & academic institutions
filosofia,1,8,Education & academic institutions
"latino, greco (liceo)",1,8,Education & academic institutions
Filiiiai a Roma,1,8,Education & academic institutions
Letteratura italiana e storia,1,8,Education & academic institutions
Letteratura Italiana e storia,1,8,Education & academic institutions
religione,1,8,Education & academic institutions
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,385,9,Advertisement-dominated content
Macchine per scrivere - Calcolatrici - Duplicatori,362,9,Advertisement-dominated content
Tutti i prodotti ZAMPIRONI INSETTIFUGHI di massima fiducia,195,9,Advertisement-dominated content
industria,177,9,Industrial & construction trades
Duplicatori,51,9,Advertisement-dominated content
Forniture compiete MOBILI e ACCESSORI per UFFICIO,46,9,Advertisement-dominated content
 filati e affini,19,9,Industrial & construction trades
Costruzioni edili,9,9,Industrial & construction trades
Category: Acqua - Gas - Elettricità,7,9,Industrial & construction trades
impresa edile,6,9,Industrial & construction trades
Category: Vetro e Ceramica,5,9,Industrial & construction trades
Società Cementi Armati Centrifugati,5,9,Industrial & construction trades
 filati,4,9,Industrial & construction trades
filati e affini,3,9,Industrial & construction trades
Fabbro Ferrario e Meccanico,3,9,Industrial & construction trades
GABINETTI DENTISTICI,2,9,Medical professions
filati,2,9,Industrial & construction trades
tessuti filati,2,9,Industrial & construction trades
 articoli da viaggio,2,9,Industrial & construction trades
 piante e sementi,2,9,Industrial & construction trades
esperto elettrotecnico,2,9,Industrial & construction trades
"UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,",1,9,"Government, military & public administration"
pittrici,1,9,Industrial & construction trades
Combustibili e Carburanti,1,9,Industrial & construction trades
 Olii minerali,1,9,Industrial & construction trades
 cicli e accessori,1,9,Industrial & construction trades
 vernici,1,9,Industrial & construction trades
piante e sementi,1,9,Industrial & construction trades
 tessuti,1,9,Industrial & construction trades
elettricista e idraulico,1,9,Industrial & construction trades
officina meccanica metal. lurgica e costruzioni in ferro,1,9,Industrial & construction trades
"mercerie, filati e affini",1,9,Industrial & construction trades
industirale,1,9,Industrial & construction trades
 prodot. ti chimici,1,9,Industrial & construction trades
"serramenti, mobili",1,9,Industrial & construction trades
gabinetti di posa),1,9,Industrial & construction trades
importazioni ed esportazioni varie,1,9,"Legal, economic & administrative professions"
color e vernici,1,9,Industrial & construction trades
 filiati e affini,1,9,Industrial & construction trades
 Serramenti ed Affissi,1,9,Industrial & construction trades
 carbone e legna (dettaglio),1,9,Industrial & construction trades
ferramenta metalli,1,9,Industrial & construction trades
Articoli Tecnici,1,9,Industrial & construction trades
articoli casalinghi,1,9,Industrial & construction trades
 impresa edile,1,9,Industrial & construction trades
 idraulica-sanitaria,1,9,Industrial & construction trades
 idraulica e gas,1,9,Industrial & construction trades
comm. e lavorazione,1,9,Industrial & construction trades
 fabbricati e aziende agricole,1,9,Industrial & construction trades
