value,n_rows
"Rappresentante della Soc. ICEN, Novara, Forni Industriali",1
Succ: Fratelli Scarpa,1
carpentierre,1
Giudice,1
ditto,1
ved. Bianchi,1
Agente per l Venetti E. A. Super Lux 8,1
Via Trezzo 22,1
accessori,1
ca la anta impresa,1
agenzia nolleggio film,1
(gross),1
Telefono 34-285,1
cm. fezione,1
Litugi Achieri,1
orto,1
Colonia Alpina S. Marco,1
Comm. Aggi. dirigente,1
Segret. Capo Sez. Amministrativa,1
Gas,1
Vice Direttore Banca di Roma,1
Magazzina,1
Unione di Navigazione Interna Alta Italia,1
Parigi,1
fraganai,1
segretario,1
"Mestre, Via Circonvallazione 2.C.",1
soprintendente,1
(interno Municipio),1
S. Filippo e Giacomo,1
rappresentante: S. A. Super Lux,1
al Pingrosso,1
Ufficio di Venezia,1
Intendenza di Finanza Direzione Lotto,1
Articoli Tecnici,1
Combustibili solidi e liquidi,1
Vice Pres. Società Canottieri Bucintoro,1
Istituto Zambler,1
Tribunale dei Minorenni,1
Dese,1
località Dese,1
già auto degli Ospedali Civili Riuniti,1
Commissariato,1
Ca' Foscari,1
Rapprcsentanti e A.,1
Via Garibaldi 12.B,1
Surrogati,1
Via Caboto 12,1
Gerente,1
"Via XXII, marzo",1
Cone.,1
Via Fratelli Bandiera,1
fram. Santi 3,1
fom,1
Riceve dalle ore 15 alle ore 18,1
della Provincia,1
loc. Gaggio,1
Rappresentante cingalmerie,1
Divisione S. Lucia,1
Conterie 24,1
Via San Donà,1
IMPIANTI COSTRUZIONI ELETTRICHE INDUSTRIALI,1
Impiallacciature,1
condirettore,1
Consigliere Segr.,1
Vice Pres.,1
Pietto in Volta,1
Qualsiasi lavoro in fiori,1
vernici,1
cicli e accessori,1
gruppoà Ferrovie dello Stato Direzione S. Lucia,1
32,1
Accademico,1
Azienda,1
Olii minerali,1
Capo Stazione l. A. Agg.,1
Capo Uff. Ragonierìa,1
Segretaria,1
Capo Div. Tecnologia,1
"CARTA - CARTONI, CANCELLORIA",1
SPECILISTA MALATTIE LATTANTI E BAMBINI,1
caffè (torrefazione),1
pittrici,1
"Specialista in Dermosifilopatia, Aiuto della Div. Dermosifilopatica degli Ospedali Civili Riuniti",1
Specialista Malattie Pelle e Veneree,1
MEDICO CHIRURGO,1
Malattie Veneree e della Pelle,1
"Specialista malattie della Pelle e Genito, Urinarie",1
Portogruaro,1
"Studio di Ragiione ria, Consulenza ed Assistenza Tributaria. Telef. 28.042.",1
Scultore,1
IspetL Sanità,1
Direttore responsabile: mons. Marino Alfieri,1
Mons. Felice Pagan,1
Mons. Arturo Zordan,1
Don Antonio Ferracin,1
Bce salutariameta,1
Bimesile,1
Direttore responsabile,1
Medico Chirurgo Ostetrico,1
"Medicina interna, Specialista Malattie Polmonari",1
"Revisore Ufficiale dei Conti, Amministratore Giudiziario, Consulenza e Assistenza Tributaria, Economico, Commerciale, Ragioneristica",1
Alberoni,1
Categoria XII,1
Combustibili e Carburanti,1
Categoria VIII,1
Città Giardino,1
Odontoiatra; Gabinetto Dentistico,1
Specialista Malattie Lattanti e Bambini,1
Docente malattie del bambini,1
Asp. Civile,1
Osp. Marino,1
Medicina Interna,1
Via Torre Belfredo numero 94,1
"Carpenedo, Mestre",1
"Ospizio Marino, Lido",1
"Murano, Venezia",1
Osp. Civ.,1
dirett. Cro-nici,1
spec. Vernizione,1
Vicario,1
Istituto A. M. Manzoni,1
"alimentari, (dett.)",1
squero,1
di Indri Giovanni,1
polleria,1
"terraglie, porcellane",1
uova,1
"mercerie, filati e affini",1
cartoleria profumeria,1
Cicli ed Accessori,1
prodot. ti chimici,1
Segretario (gruppo viaggiatori),1
Premiate Cantine,1
capitano,1
commissario,1
ragioniere,1
"Antonio,",1
Ass. Naz. Combattenti,1
industirale,1
Ispettore Tecnico del movimento postale,1
profumeria,1
Tenenzia,1
dell' Archivio dello Stato,1
frigotiju e con.menssbiti octoti,1
Amm. Imposte di Consumo del Comune,1
Lavorazioni con leghe in alluminio Preventivo cifonico fabbricato meccanico con torneria catruzione Armaidedti per spogliatoi operai,1
s. r. l.,1
accessori riparazioni vendite,1
dirigerato,1
Forossitti,1
"serramenti, mobili",1
Istituto Artigianelli,1
dettuanaglio,1
montaggio apparecchi,1
carbono di calcio,1
gros.,1
esercizi,1
gabinetti di posa),1
tenente,1
Direzione Marittima e Gabinetto,1
Banco di Roma,1
8. a. r. Ir.,1
corredi,1
Ispettore Istituto Aut. per le case popolari,1
"Uff. Supelivo - Addetto, Legione Ferr. della Guardia di Finanza",1
Procuratore Tribunale dei Minorenni,1
Sostituto Proc. Tribunale Civile e Penale,1
deputato Amminist. della Provincia,1
Capo Divisione prima,1
Zattere num. 20,1
"Velluti, Soprarizzo, Broccati, Damascoti Per Ammobramento, Chiese Passamenterie",1
Alessandro e Auiorio,1
vendita immobili,1
2288,1
edicola,1
Geodesia,1
Traslochi,1
vetri incisi,1
"Di vetterti Aumn, Istibuto Prov. degli Esposanti",1
"Pres, Arciconfratermita di San Cristoforo e Compagnia della Misericordia",1
macelleria (introduttore Ac. stime),1
sartoria da uomo,1
chinaglieie,1
"soffieria, fale ipodermiche, ecc.",1
"Ragioniere, Patrocinatore legale",1
riparazioni autoveicoli,1
legatore,1
architetto,1
officina meccanica metal. lurgica e costruzioni in ferro,1
Enego,1
(abbigra),1
orloggi,1
elettricista e idraulico,1
sartaorio,1
stuccchi edile,1
officina meccanica metallurgica e costruzioni in ferro,1
ingegnere,1
bbianeti e affini,1
(eredi),1
ed L. Merline e C.,1
lampadari,1
(edicola),1
ortagagi,1
Dott.,1
"Lavori Fotografici, Fotomateriale",1
mosaici,1
acquisto fabbricati e aziende agricole,1
vele e bandiere,1
economo,1
fotografi,1
Direttore Sanitario,1
Medico aiuto,1
Medico Direttore,1
Segretario Comitato Provinciale antitubercolare,1
Presic. Comitato Provinciale antitubercolare,1
Sezione Chimica,1
Sezione medico micrografica,1
cardanetti,1
cristali e spechi,1
materassai,1
Presidente del Casinò di Commercio,1
legumi,1
62,1
friggitoria,1
"Marghera, Via Fratelli Bandiere",1
Via G. Bruno 13,1
Altri Stazione,1
Via Piave-L7,1
Consigliera Municipale,1
1203,1
Primo Dirigente,1
Direttore Istituto Universitario di Archit.,1
r. t. trasporti marittimi,1
vini rappresentante generi alimentari,1
"Laboratorio Cornici ed Affini, Vetri, Specchi, Cristalli, Quadri",1
Sindaco Assist. Naz. Combattenti,1
Ispet. Capo Amm. Imposte Consumo del Comune,1
cantiere navale,1
V. Presidente Ass. Inquilini e Senza Tetto,1
Autotrasporti,1
S. Marco,1
San Lio,1
S. Trovaso. Palazzo Giustiniani,1
projettili,1
Radio,1
bottiglieria,1
albergo,1
parruccchiere per signora,1
Capo Divisione Soprintendenza ai Monumenti Mediovali e Moderni del Veneto Orientale,1
ricuperi navali,1
Orologeria,1
Tappeti persiani,1
S. Nicolo di Lido,1
Castello 5617.,1
Cannareguo 1984-85.,1
Via D. Manin 39.,1
Palazzo Surian,1
Assicurazioni Generali,1
rappresentante dei veterinari,1
TELVE,1
Ass. dei Commercianti,1
caffè,1
Dirett. Macello Comunale,1
Uffici Centrali dell'Amministrazione della Provincia,1
Divisione Ragioneria,1
Fabbrica Timbri - Studio Incisioni,1
Istituto Nazionale per l'Addestramento Professionale Lavoratori dell'Industria,1
Succ. a G. B. Trapolino,1
Forniture,1
Fruttiera Francesco,1
radio,1
Pres. Reg. della (F.I.S.I.),1
agenzia marittima,1
Telefono 34-296,1
Grande Salone per banchetti e Rinfreschi,1
frutta alimentari,1
Riduttori di pressime,1
stampe,1
rappresentante articoli casalinghi,1
"Lido, Via Malamocco 38",1
pediatra,1
scientifica,1
Sbarchi,1
carburanti,1
frutta,1
Compra Vendita Caffè e Ristoranti,1
industria lavorazione e conservazione del legno,1
industria chimica,1
Telef: ab. bigliamento,1
"agrumi, essicazione frutta ed erbaggi",1
Imbarcazioni,1
olii minerali,1
automobili e automes.,1
espressi telegrammi,1
articoli fotografici,1
olii,1
artic. commestibili (commercio),1
apparecchi elettromeccanici,1
Vijg Elettricità,1
Società mineraria immobile,1
Ann. Castellan G. & Santon A.,1
D'allefitanni,1
Società Cattolica di Assicurazione Verona,1
spedizioni e trasporti,1
farmacsita,1
ossidi metallici,1
Società Italo-Oriental d’idrogenco,1
Ame-ricana nel Petrolio,1
Società Italiana Ossigeno ed altri gas,1
esplorug pozzi neri,1
Società Bunieraggi,1
alluminio,1
Società Autotrasporti Saturnia,1
Società Autorimessa Roma,1
acquisto costruzione immobili,1
Soc. per Az. Rossi Tranquillo,1
prodotti chimici,1
Duro 3188-29,1
Deposito: Cannaregio Abazzia,1
Navagero 34,1
frigoríforik,1
S. A.,1
autonoleggio autorimessa,1
(dett.),1
grassi,1
pelli e materiale per costruzioni edilizie,1
gerogi alì mentari (dett.),1
Mobili d’Arte,1
(gab. inetti di posa),1
scarabolla,1
mautotarsporti,1
Disinfestazioni con gas tossici,1
fluviali e terrestri,1
cinema (produzione film stabii-,1
(Cronometriosta),1
Palazzo Bonambo,1
Tribunale del Minorenni,1
medicine generale,1
nomina per Valli in provincia di Venezia e Campagnaluqa,1
pastificio,1
Capitano di Porta,1
corieettine e pele,1
specialità Veneziane,1
carburanti olii ed affnii,1
acque minerali,1
combustibili liquidi (geonotta),1
arcirepe,1
Comandante del Porto Capitano uffi Porto,1
industries boschive,1
Arcprete,1
imprese opere marittime,1
dott.,1
drogheria,1
Procuratore Gen.,1
benzina,1
Concessionarie Marelli,1
Via Felisati 95,1
Viale S. M. Elisabetta,1
succ. di Gaio Ernengildo,1
rappresentante dei medici,1
colonnello medico,1
esperto scienze guerriere,1
Ferrovie de lo Stato,1
merceria filati e affini,1
autologico e automorsa,1
Capo 3.o Ugucli,1
grassi industriali,1
Uff. Regionale di Coordinamento,1
Cimiteri Comunali,1
calcolatrice,1
Ingegn. Primo n° 7,1
Questore,1
suggesto,1
fon,1
liquori,1
Commissione Direttiva del Circolo Artistico,1
juors,1
Stabilimento : Casa di Pena,1
pennelli,1
"cicli e motocicli accessori, riparazioni, vendite",1
sqiurero,1
Instituto Universitario Architett.,1
t'atoria,1
vetrerie e oggetti artistici,1
abiti confezionati,1
Lavorazione 'Acurata,1
Consulenza ed Assistenza Tributaria,1
fabbricati e aziende agricole,1
manifature,1
Società Anonima,1
comm. e lavorazione,1
materiale da costruzione,1
"Cartotecnica, Tipografa",1
Consigliere di I. cl.,1
Vice Prefetto Ispett.,1
V. Prefetto Ispett.,1
Consigliere di l. classe,1
Vice Prefetto ispett.,1
"impresa edile, materiali refrattari laterizi",1
agenzia d’affari,1
Instituto Universitario di Architett.,1
Pretore della Pretura Civile e Penale,1
ristorante,1
impianti di riscaldamento,1
Ufficio Tecnico dell'Amministrazione della Provincia,1
"""Consigliere Municipale""",1
Maggiore di P. S.,1
Procuratore della Scuola Mer-letti di Murano,1
Rapprex Prov.,1
Istituto U.r..straria Architettura,1
presidi,1
salumi (negozio),1
Segretario Ispet. Ispt. Circoscrizione Doganale,1
idraulica e gas,1
Marmellate,1
Aperto tutto l'anno,1
idraulica-sanitaria,1
Filiiiai a Roma,1
chimico del La..,1
prof. Istituto Universitario di Architettura,1
e del Traffico,1
Vice Ispet. di Zona,1
Vicario S. Andrea Apostolo,1
in Sambin,1
monista,1
Ass. Naz . Reduci,1
Cas di Ricovero,1
Consigliere Banca Veneta Mezzana a Gretti e Conti Correnti,1
Via Velarino,1
pal. Patriarcale,1
Rettore Istituto Crovani e Guglielmo Marconi,1
glati,1
ras,1
ag. capo Stazione Marittima,1
giornate,1
tessuti seterie e affini,1
Tappeti,1
Capitano,1
"Alla Nuova Trattoria, di Mario",1
cicli e motocicli,1
carpentiere,1
esperto materie amministrative,1
4554,1
Sindaco effettivo Banca Veneziana di Crediti e Conti Correnti,1
"fiori, piante e sementi",1
Gazzera Alta 156,1
Direzione Lotto,1
Gazzera Alta 158,1
Via Miranese 135,1
via Trezzo 1,1
piazza 22 Marzo,1
confezioni iliati,1
Capo Uff.,1
Stazione di Mestre,1
"Direzione, S. Lucia",1
Punta Sabbioni,1
Studio Radio e Elettrotecnico,1
Uff. Prov. Statistica Economica Agricola,1
Banco S. Marco,1
essicazione frutta ed erbaggi,1
Stoffe per Uomo,1
Atti giud. e conlesso governativo,1
Diret. agt.,1
medico pediatra,1
Federaz. Cooperative,1
rappresentante esercenti cinema e teatri,1
appart. e materiale radio,1
rosticceria,1
Capo uff. Amministr.,1
informazioni comm.,1
Presidente Centro Economico per la Ricostruzione,1
Rappresentante e Depositi,1
cereali (grossi,1
liquori (fabbrica e deposito),1
Titto,1
Direzione S. Lucis,1
apparecchi per impianti sanaturi ed igienici,1
affini (vendi-ta),1
Vetro neutro,1
aggiusta maturittima rimorchiatore,1
oculista,1
segreteria,1
Director,1
Soprintendenza ai Monumenti Medioevali e moderni del Veneto Orientale,1
oggetti artistici,1
spazzole,1
Albergo,1
oreficeria,1
molino,1
chinquejlerie,1
Clinica,1
cristalli e specchi,1
Carpenedo,1
forni in vetro,1
grossisti,1
(negozio),1
Società Italiana del piombo e dello zinco,1
Ministero dell'Agricoltura e Foreste,1
Santa Maria Formosa 4778,1
Galleria gG. Franchetti alla Ca D’Oro,1
cristalli e spe- chi,1
mediatori generali,1
Consigliere i. cl.,1
cambio nego,1
Agrumi,1
legnam e pali da construzzioni,1
cristalli e spechi (commercio e lavorazione),1
Autorizzata dalla Questura,1
smalti ecc.,1
riparazioni di qualiasi di tipo d'orologio ed apparecchi d'orologeria,1
Soc. a.r. l.,1
dell’Olio Adriatico.,1
libreria,1
lavanderia e stireria,1
Istituto Universita-io di Architett.,1
Societa Canottieri Bucintoro,1
Segretario della (FIDAL),1
segretario Istituto Univers. di Economia e Commercio,1
Impianti di illuminazione a gas vari,1
Segretario Tesoriere,1
