value,n_rows
"Trasporti fluviali,  Autotrasporti,  Mediazioni,  Compra vendita navi,",1
Ispettore Superiore,1
Direttore vice intendente,1
Titolare I. Procuratore,1
Titolare ufficiale,1
Dogana Principale,1
Ufficio distrettuale II. DD.,1
Ufficio Distrettuale delle II. DD.,1
"Telefoni ecc. Impianti di illuminazione pubblica,  Impianti di linee florivarie,  Costruzioni apparecchiature elettriche e di materiali per linee di contatto, Rappresentante per il Veneto: Super Lux S. A., , ,",1
Commis,1
Vice Commis.,1
Capo Tecnico Principale,1
Economo Cassiere,1
MAGAZZINI,1
Vice Comnissario Amm.vo,1
Gestore,1
Comandante in 2.a,1
Direzione Marittima e Gabinetto,1
Amministrazione,1
Tenenza volante,1
Arc. di Tarragona,1
Comandante Areoporto e Presidio Areonautico,1
Capo Uff. Amministrazione,1
Col. Pilota,1
Centro Meteorologico Regionale,1
Capo del Compartimento,1
"Segretario, Direzione",1
"Ispettore Capo, Ufficio Personale Compartimentale",1
Arc. di Westminster,1
"Capo della Sezione princ, Sezione Movimento",1
Reparto movimento,1
Riparto Circolaz. Vei. coli.,1
"Ispettore, Capo Uff. Contabilità",1
Segreteria e Capo Personale Rip. Utilizzo personale,1
Orari,1
S. Lucia,1
Utilizzazione materiali mer ci,1
Andamento treni,1
"Capo della Sezione ispettore capo, Sezione Commerciale e del Traffico",1
"Sostituto Capo Sezione, Ispettore La Classe",1
Ispettore La Classe,1
Capo Gestione la cl.,1
Segretari capi: Contenzioso,1
Compagnia Mestre,1
Prima compagnia,1
Demanio e Pesca,1
3. Legione Territoriale della Guardia di Finanza,1
Naviglio,1
Leva e Mobilitazione,1
1. GUIA COMMERCIALE DI VENEZIA E PROVINCIA,1
Comandante Gruppo,1
Comandante la compagnia di Venezia,1
Comandante la tenenza Venezia,1
Comandante la compagnia di Mestre,1
Comandante la tenenza di Chioggia,1
Comandante la tenenza di Portogruaro,1
Uff. Superiore addetto,1
Capitano addetto,1
Comandante di legione,1
Relatore,1
Direttore dei Conti,1
Aiutante Maggiore in Prima,1
Dirigente uff. Servizio,1
Ufficiale di Magazzino,1
Ufficiale Pagatore,1
Capo reparto automob.,1
Camera Ricovero Legion.,1
Nucleo polizia Trib. invest.,1
Ufficiale Addetto P. T. I.,1
Stazione Naviglio,1
Lo Cancelliere,1
Cancelliere Dirigente,1
Uscierce,1
PRESIDENZA DEL CONSIGLIO,1
Cassiere,1
Ispettore Capo,1
Vice Ispettore,1
"Piastrelle,  Metalli, ,",1
V. Direttore Tecnico,1
Capo movimento,1
Capo Cantiere,1
"San Ileria, ,",1
Soc. per azioni,1
Ufficio Deposito,1
Cantiere Navale,1
SERVIZIO COMUNALE DELLE PUBBLICHE AFFISSIONI,1
Lando dr. Cesare,1
rappresantan,1
Membro per l'industria,1
GIUNTA CAMERALE,1
Membro per l'agricoltura,1
Membro per il lavoro,1
dott.,1
Sezione Commercio Interno.,1
ERPA,1
Capo Ufficio,1
Questore,1
Ispettore Contabile,1
Collettore dirigente,1
Addetto Gabinetto,1
Direttore capo Divisione,1
(XIII),1
(XIV),1
(XV),1
(XVI),1
(XVII),1
(XVIII),1
(XIX),1
(XX),1
AGRICOLTURA E FORESTE,1
Ragioniere gen.,1
Capo divisione di ragioneria,1
DANNI DI GUERRA,1
Capo sezione,1
Segretario capo Divisione,1
INTERNO,1
CORPO DEI VIGILI URBANI,1
ITALIANI ALL’ESTERO,1
"Sez, dei canali",1
Sez. vigili informatori,1
Conciliatori di Mestre,1
Conciliatore,1
Vice Conciliatori,1
Tiscieri,1
Vice Questore,1
Ufficio Stranieri,1
aiutante di cancelleria,1
Segretario avventizio,1
"colori e vernici,  legnami e pali da costruzione",1
"Amministrazione,  case e terreni,  Beni Immobili"", , ,",1
Segretario di Sezione,1
Calogero,1
Segretari di prima classe,1
Viale 4 Novembre 2,1
Segreteria,1
Manin 59,1
Agente di Pubblica Sicurezza,1
filati,1
dr. Alessandro,1
Ministri senza portafoglio,1
COMMERCIO CON L'ESTERO,1
Consigliere Istruttore,1
Giudice Istruttore,1
Giudice Istruttore e Giudice di Sorveglianza,1
Giudice Istuttore,1
Can,1
AGRICOLTURA,1
Giudice Supplente,1
Medico Primario Manicomio,1
Impiegato di Segretaria,1
Primo Cancelliere,1
"Confezioni per signora,  modelli di propria creazione",1
cancell. capo a riposo riassuto ff. segretario,1
V. Comandante,1
Primo segretario,1
Provveditore al Porto (Reggente),1
Capo della Segreteria Centrale,1
Capo del Servizio Esercizio e Lavoro,1
Capo dei Servizio Tecnico,1
Capo del Servizio Sanitario,1
Capo della Ragioneria,1
Primo presidente,1
della Biblioteca,1
"Incaricato della supplenza del Presidente del Tribunale di Venezia,",1
"Funziona da Presidente del Tribunale per i minorenni,",1
Presidente supplente,1
Componente privato effettivo,1
Ass. Imprese Elettriche Veneto Adriatiche,1
dan pariè affini,1
rappresentanto,1
"Direzione Generale,",1
polleria,1
consigliere supplente,1
Consigliere Corte Appello,1
Procuratore Generale ff.,1
La Lega Provinciale,1
ff. Segretario Capo,1
lateria,1
Direttore sportivo,1
