profession,frequency,cluster_id
V. Prefetto Ispett.,1,6
Vice Prefetto Ispett.,1,6
Consigliere di I. cl.,1,6
Consigliere i. cl.,1,6
rappresentante esercenti cinema e teatri,1,6
Seconda Divisione,1,6
Commissariato di Castello,1,6
Capo di Gruppo o Categoria,1,6
Segretario Generale dell’Associazione Regionale Per gli Industriali,1,6
Membro effettivo,1,6
Lavorazione artistica mosaici in smalto di vetro Veneziano,168,7
ARTI GRAFICHE ESPERIA,91,7
pittore,67,7
illuminazione pubblica,65,7
PROFESSIONISTI E ARTISTI,41,7
Ing. A. Carretta e Geom. M. Monopoli,33,7
Geometra,22,7
BICROMIE TRICROMIE FOTOLITO,18,7
Pittore,14,7
dettaglio,9,7
scultore,8,7
pittrice,7,7
Figura disegnata,4,7
 riproduzioni ed oggetti artistici,2,7
"di Elementi di architettura e rilievo dei monumenti, ",2,7
Pittura,2,7
Ornato disegnato,2,7
Figura e ornato modellato,2,7
Pittrice,1,7
Scultore,1,7
 Pietto in Volta,1,7
stuccchi edile,1,7
pittore decoratore,1,7
di Indri Giovanni,1,7
 Dettaglio,1,7
Geometra principale del,1,7
Incisioni,1,7
 oggetti artistici,1,7
 stampe,1,7
 Incisioni,1,7
 fotografi,1,7
Ingegnero,1,7
 maioliche artistiche,1,7
Geometra principale del Genio Civile,1,7
Rappresentanze varie,1,7
 riproduzioni quadri,1,7
architetto,1,7
"terraglie, porcellane",1,7
"di Scienza delle costruzioni, ",1,7
"per Tecnologia dei materiali e tecnica delle costruzioni, ",1,7
"per Caratteri stilistici e costruttivi dei monumenti, ",1,7
"per Matere i radiche, ",1,7
"per Storia dell'arte e storia e stili dell'arch., ",1,7
"per Architettura degli interni, arredamento e decorazione, ",1,7
"per Applicazioni di geometria descrittiva, Elementi di composizione, ",1,7
"per Composizione architettonica, ",1,7
"per Restauro dei monumenti, ",1,7
"per Plastica ornamentale, ",1,7
"per Decorazione, ",1,7
"per Geometria descrittiva ed elementi di protettiva, ",1,7
"per Elementi costruttivi, ",1,7
"per Disegno dal vero, ",1,7
"di Composizione architettonica, ",1,7
di Scienza delle costruzioni,1,7
Scultura,1,7
"Cartotecnica, Tipografa",1,7
photoengraving,1,7
 riproduzioni di oggetti artistici,1,7
arte antica,1,7
Decorazione,1,7
Tecniche dell'incisione,1,7
Plastica Ornamentale,1,7
Storia dell’arte,1,7
Architettura,1,7
Architettura disegno geometrico e prospettiva,1,7
Ornato modellato,1,7
Storia dell'arte,1,7
CIRCOLO FILOLOGICO,11,8
Personale degli Uffici - Segreteria della Sezione di Lingue e letterature straniere,10,8
Lingua tedesca,4,8
Biblioteca,3,8
Lingua inglese,3,8
Lingua francese,3,8
Lingua e letteratura francese,2,8
Lingua e letteratura spagnola,2,8
Lingua e letteratura tedesca,2,8
Lingua spagnola,2,8
Lettere (ginnasio),2,8
lettere (ginnasio),2,8
teatro,2,8
Biblioteca Marciana,1,8
Leggere e rapide,1,8
Lingua e letteratura italiana,1,8
Storia,1,8
Filologia romanza,1,8
Lingua serbo-croata,1,8
Lingua e letteratura russa,1,8
Filologia germanica,1,8
Lingua e letteratura inglese,1,8
Storia della filosofia,1,8
Pedagogia,1,8
Filosofia,1,8
Lingua e letteratura latina,1,8
Glottologia romanza,1,8
Lingua russa,1,8
Lingua rumena,1,8
"per Letteratura italiana, ",1,8
Storia Ec. Ebraico,1,8
"Patrologia, Arte, Eloquenza",1,8
"italiano (liceo), Storia",1,8
sacra liturgia,1,8
filosofia,1,8
"latino, greco (liceo)",1,8
Filiiiai a Roma,1,8
Letteratura italiana e storia,1,8
Letteratura Italiana e storia,1,8
religione,1,8
Macchine per scrivere - Calcolatrici - Duplicatori,360,9
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,359,9
Tutti i prodotti ZAMPIRONI INSETTIFUGHI di massima fiducia,194,9
industria,176,9
Duplicatori,51,9
Forniture compiete MOBILI e ACCESSORI per UFFICIO,46,9
 filati e affini,18,9
Costruzioni edili,9,9
Category: Acqua - Gas - Elettricità,7,9
impresa edile,5,9
Category: Vetro e Ceramica,5,9
Società Cementi Armati Centrifugati,5,9
 filati,4,9
Fabbro Ferrario e Meccanico,3,9
filati e affini,2,9
GABINETTI DENTISTICI,2,9
filati,2,9
tessuti filati,2,9
 articoli da viaggio,2,9
 piante e sementi,2,9
esperto elettrotecnico,2,9
"UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,",1,9
pittrici,1,9
Combustibili e Carburanti,1,9
 Olii minerali,1,9
 cicli e accessori,1,9
 vernici,1,9
piante e sementi,1,9
 tessuti,1,9
elettricista e idraulico,1,9
officina meccanica metal. lurgica e costruzioni in ferro,1,9
"mercerie, filati e affini",1,9
industirale,1,9
 prodot. ti chimici,1,9
gabinetti di posa),1,9
importazioni ed esportazioni varie,1,9
color e vernici,1,9
 filiati e affini,1,9
 Serramenti ed Affissi,1,9
 carbone e legna (dettaglio),1,9
ferramenta metalli,1,9
Articoli Tecnici,1,9
articoli casalinghi,1,9
 impresa edile,1,9
 idraulica-sanitaria,1,9
 idraulica e gas,1,9
comm. e lavorazione,1,9
 fabbricati e aziende agricole,1,9
 Lavorazione 'Acurata,1,9
 vetrerie e oggetti artistici,1,9
 industria,1,9
 spazzole,1,9
lavanderia e stireria,1,9
 smalti ecc.,1,9
 cristalli e spechi (commercio e lavorazione),1,9
 importazioni ed esportazioni varie,1,9
"fiori, piante e sementi",1,9
 Vetro neutro,1,9
ricuperi navali,1,9
rappresentante articoli casalinghi,1,9
carbone e legna,1,9
 Forniture,1,9
Fabbrica Timbri - Studio Incisioni,1,9
cristali e spechi,1,9
vele e bandiere,1,9
 acquisto fabbricati e aziende agricole,1,9
"Lavori Fotografici, Fotomateriale",1,9
 cantiere navale,1,9
"Laboratorio Cornici ed Affini, Vetri, Specchi, Cristalli, Quadri",1,9
fluviali e terrestri,1,9
Disinfestazioni con gas tossici,1,9
industries boschive,1,9
 combustibili liquidi (geonotta),1,9
 acque minerali,1,9
 carburanti olii ed affnii,1,9
apparecchi elettromeccanici,1,9
articoli fotografici,1,9
 industria chimica,1,9
 carburanti,1,9
olii minerali,1,9
prodotti chimici,1,9
elettricità (produzione distribuzione),1,9
ossidi metallici,1,9
spedizioni e trasporti,1,9
 pellic-erie manifatture fiutate,1,9
Articoli Casalinghi,1,9
 officina meccanica e metallurgica,1,9
officina meccanica e saldatura,1,9
 acque gassaste,1,9
 impianti terrestri e navali,1,9
Arredamento e temi,1,9
vetro lavorazioni,1,9
ingegnere,1,9
Tutti i prodotti ZAMPIRONI sono di massima fiducia,1,9
 tubi in ferro,1,9
"per Igiene edilizia, ",1,9
dommatica,1,9
 Tappeti,1,9
 tessuti seterie e affini,1,9
Impianti di illuminazione a gas vari,1,9
vetrerie in genere lampadari,1,9
 articoli casalinghi,1,9
aggiusta maturittima rimorchiatore,1,9
 pelli e materiale per costruzioni edilizie,1,9
Legname Compensato,1,9
prodotti siderurgici e metallurgici,1,9
materiali ferrosi da riutilizzo,1,9
vetro e ceramica,1,9
radio e accessorii,1,9
elettricità ed idraulica,1,9
materiali da costruzione,1,9
mobili,1,9
rivieditori zenergi ni Monopolio,1,9
grossisti combustibili e solidi,1,9
