profession,frequency,cluster_id
Fed. Ginnastica d'Italia (FGDI),1,21
Fed. It. Pugilato (FIP),1,21
Fed. It. Sport Equestri (FISE),1,21
Unione It. Tiro a Segno (UITS),1,21
"Pres. Reg., Fed. It. Sport Invernali (FISI)",1,21
Fed. It. Pattinaggio su Ghiaccio,1,21
Fed. It. Hockey su Ghiaccio,1,21
Pres. Reg. della (F.I.S.I.),1,21
COMITATO OLIMPICO NAZIONALE ITALIANO,1,21
 grossista,5,22
grossista,4,22
negozio,2,22
 (grossista),2,22
 negozio,1,22
ingrosso,1,22
gros.,1,22
 (commercio),1,22
 (gross),1,22
grossisti,1,22
 ingrosso,1,22
Latte (grossista),1,22
 vini (gros. s] sta),1,22
 Compra-vendita,1,22
(negozio),1,22
 vendita),1,22
Divisione I.a,2,23
Categoria IX,1,23
Categoria XXII,1,23
Categoria VII,1,23
Categoria VIII,1,23
Divisione II.a,1,23
Seconda Divisione,1,23
Divisione III.a,1,23
Tutti i prodotti ZAMPIRONI INSETTIFUGHI di massima fiducia,194,24
Alimentari (Dett.),6,24
 piante e sementi,2,24
piante e sementi,1,24
"alimentari, (dett.)",1,24
alimentari (dett.),1,24
frutta e verdura,1,24
 erane vegetale,1,24
alimentari,1,24
 fabbricati e aziende agricole,1,24
 Agrumi,1,24
"fiori, piante e sementi",1,24
essicazione frutta ed erbaggi,1,24
 frutta alimentari,1,24
Fruttiera Francesco,1,24
 acquisto fabbricati e aziende agricole,1,24
legumi,1,24
 vini rappresentante generi alimentari,1,24
 grassi,1,24
artic. commestibili (commercio),1,24
 frutta e verdura,1,24
"agrumi, essicazione frutta ed erbaggi",1,24
" ""Frutta e verdura",1,24
 alimentari,1,24
Sezione specializzata di Zootecnia,1,24
Tribunale Civile e Penale,3,25
Avvocato,2,25
Diritto del lavoro,2,25
Diritto amministrativo,2,25
Diritto processuale civile,2,25
Asp. Civile,1,25
Sostituto Proc. Tribunale Civile e Penale,1,25
Procuratore Tribunale dei Minorenni,1,25
Segretario Tribunale dei Minorenni,1,25
Tribunale dei Minorenni,1,25
Tribunale del Minorenni,1,25
presso la Corte d’Appello,1,25
Diritto commerciale,1,25
Scienza delle finanze e diritto finanziario,1,25
Diritto internazionale,1,25
Diritto della navigazione,1,25
Istituzioni di diritto pubblico,1,25
Istituzioni di diritto privato,1,25
Diritto aeronautico,1,25
Diritto pubblico (id.),1,25
Diritto privato (incar.),1,25
Scienze delle ze e diritto finanziario (incar.),1,25
Diritto e procedura penale,1,25
Diritto civile,1,25
Elementi di diritto e procedura penale,1,25
Elementi di diritto processuale civile,1,25
Laboratorio di Scienza delle finanze e diritto finanziario,1,25
Diritto Canonico,1,25
esperto materie amministrative,1,25
Attuari,111,26
S.A.,13,26
"Solesin,",12,26
sarta,7,26
da A. Joggna,5,26
prof.,3,26
Mensile,3,26
dett.,2,26
arciprete,2,26
Geom.,2,26
Vetrocke,1,26
Comm.,1,26
Pittrice,1,26
 Alberoni,1,26
fram. Santi 3,1,26
Conterie 24,1,26
(abbigra),1,26
Enego,1,26
"Antonio,",1,26
bar,1,26
dettuanaglio,1,26
Tenenzia,1,26
s. r. l.,1,26
 Dese,1,26
Numero 5576-A,1,26
RICHMAR,1,26
Brendole,1,26
Litugi Achieri,1,26
Telefono 34-285,1,26
 chinicalgile,1,26
S. Pantalon,1,26
(eredi),1,26
 glati,1,26
pal. Patriarcale,1,26
 juors,1,26
sqiurero,1,26
t'atoria,1,26
Titto,1,26
Radio,1,26
 radio,1,26
ortagagi,1,26
materassai,1,26
 (dett.),1,26
Arcprete,1,26
arcirepe,1,26
D'allefitanni,1,26
Navagero 34,1,26
Ann. Castellan G. & Santon A.,1,26
Duro 3188-29,1,26
Lari,1,26
ispett.,1,26
n. r. 1.,1,26
infe.,1,26
in translator biz,1,26
Fidibus against mosquitoes,1,26
 Prodalta,1,26
 latteria,1,26
 rdm,1,26
G. V,1,26
M 40,1,26
Sarta,1,26
Conchiapje,1,26
Patrimonio,1,26
Telefono,1,26
" Arsenal°, , ",1,26
Bimesile,1,26
Bce salutariameta,1,26
S. A.,1,26
 olii,1,26
Suaege,1,26
"DOGANA,",1,26
Rk. PP. Armeni Mechitaristi,1,26
monista,1,26
DELLA CA’ PESARO,4,27
trattoria,4,27
 trattoria,2,27
presso Albergo Danieli,1,27
presso Italian,1,27
Gruppo Ristoranti trattorie,1,27
"Gruppo: Caffé, bar, bottigliere, birrierc",1,27
Gruppo: Osterie,1,27
località Dese,1,27
stireria,1,27
"Alla Nuova Trattoria, di Mario",1,27
Stabilimento : Casa di Pena,1,27
rosticceria,1,27
Compra Vendita Caffè e Ristoranti,1,27
 Club Alpino Italiano,1,27
ditta,1,27
Premiate Cantine,1,27
Cairampane trattoria,1,27
ristorante,1,27
albergo e ristorante,1,27
Category: Ospitalità,1,27
caffè (torrefazione),1,27
Ristorante,1,27
Presidente,20,28
Segretario,13,28
Vice Presidente,4,28
Municipio,4,28
Comandante,2,28
 govvp,1,28
Vice Economo,1,28
"Segretario, ",1,28
Gerente,1,28
Vice Pres.,1,28
Presidente ,1,28
segretario,1,28
"Presidente,",1,28
Vice segretaria,1,28
Vendita e Mobilizzi,544,29
FERROVIE DELLO STATO,44,29
Società MARE,27,29
Società in NOME COLLETTIVO,18,29
SOCIETA' CANOTTIERI BUCIUNTORO,8,29
Attività varie,7,29
impresa edile,5,29
Azienda Idroelettrica,5,29
Società Cementi Armati Centrifugati,5,29
Società Cooperativa Lavori e Recuperi Marittimi e Fluviali A. r. l.,4,29
Category: Attività Marittime ed Aeree,3,29
Squadra Mobile,3,29
SOCIETA ITALIANA DEGLI AUTORI ED EDITORI,2,29
Category: Comunicazioni interne,2,29
Società di assicurazioni,2,29
Soc. Industriale es. Marco,2,29
Soc. Montedison per l'industria chimica,2,29
Società ITMA,1,29
Assicurazioni Generali,1,29
Stabilimento I. N. A.,1,29
presso Adriatica di Navigazione,1,29
Sezione Autonoma di Credito per le Piccole Industrie e l’Artigianato,1,29
Azienda,1,29
"Ditta,",1,29
noleggio imbarcazioni,1,29
 impresa edile,1,29
Società Anonima,1,29
Societa Canottieri Bucintoro,1,29
Soc. a.r. l.,1,29
ricuperi navali,1,29
 agenzia marittima,1,29
Autotrasporti,1,29
 cantiere navale,1,29
Concessionarie Marelli,1,29
 Imbarcazioni,1,29
'IRC s.a.r.I.,1,29
Società mineraria immobile,1,29
Società Autorimessa Roma,1,29
Società Bunieraggi,1,29
Ame-ricana nel Petrolio,1,29
Società Italo-Oriental d’idrogenco,1,29
spedizioni e trasporti,1,29
"Comando Militare Mar., Autorità dell'Alto Adriatico, Arsenale",1,29
(Società per la Gestione),1,29
Soc. Naz. Trasporti e Fratelli Gondrano,1,29
Comando Militare Maritt Aut. dell'Alto Adriatico,1,29
Sezione Città,1,29
Sezione Terraferma,1,29
Sezione Estuario e Marghera,1,29
Ditta,1,29
Vice Pres. Società Canottieri Bucintoro,1,29
Società Cattolica di Assicurazione Verona,1,29
Cantiere Navale,1,29
gestione S. A. ICSA,1,29
dell'Unione,1,29
Federaz. Cooperative,1,29
Deputazione Borsa valori,1,29
 r. t. trasporti marittimi,1,29
Segretario Generale dell’Associazione Regionale Per gli Industriali,1,29
