category,frequency,canonical_label
compra.vendita immobili,2,real estate
Soc. An. Condizione Immobilit,2,real estate
autorasporti,2,automotive transport
carburanti,2,fuels
abbigliamento,2,clothing
"Mercerie, Filati e Affini",2,Mercerie
"Fiori, Piante e Sementi",2,Fiori e Piante
oculista,2,Oculista
Trasporti marittimi fluviali e terrestri,2,Trasporti
bottigliera,2,Bottiglie
Vice Comm.,2,Government
budella salate,2,Salumi
cinema,2,Cinema
Impresa,2,Business
cicli e motoveicoli,2,Cicli e Motoveicoli
coal and firewood,2,Fuel Supply
shipping and transportation,2,Shipping
giornali (distribuzione),2,Newspapers
Ca' Foscari,2,Educational Institution
malattie nervose,2,Medical Profession
Generatori Acetilene brevettati,2,ADVERTISEMENT
Impresa impianti elettrici industriali,1,Electrical Services
Articoli per regalo,1,Gift Items
Camicerie,1,Camicerie
Officina riparazioni,1,Repair Shop
Abat jours,1,ADVERTISEMENT
Abbigliamento per bambini e ragazzi,1,Children's Clothing
Abiti riparazioni,1,Clothing Repairs
Accessori per auto e lubrificanti,1,Auto Accessories
Accumulatóri,1,Batteries
Acqua di colonia,1,ADVERTISEMENT
Fabbrica Acque Gassate - “Chabeso”,1,Beverage Manufacturer
FABBRICA ACQUE GASSATE,1,Beverage Manufacturer
compravendita beni agricoli,1,Agricultural Trade
Acquisto Alberghi,1,Hotel Purchase
Affissioni e pubblicità,1,Advertising Services
Istituto di Informazioni e Investigazioni,1,Investigation Agency
Agenzie di traslochi,1,Moving Agency
Agenzia Marittima e Casa di Spedizioni,1,Shipping Agency
Lloyd’s Agen.,1,Shipping Agency
Agenzie di pagno,1,Pawn Agency
Soc. Elenchi Abbonati al Telelef. An.,1,Telephone Directory
Agenzie di trasporti,1,Transport Agency
Agricola,1,Agriculture
Alcool denaturato,1,Denatured Alcohol
in Nome coll.,1,GARBAGE
scambio generi alimentarii,1,Food Exchange
S. Croce 862,1,GARBAGE
"S. Marco, 378,,,",1,GARBAGE
Macchine per scrivere - Calcolatrici - Duplicatori - OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,1,Office Equipment
Armonium,1,Musical Instrument
"Arte veneziana, Fiori e Perle",1,Venetian Art
Articoli da Bagno,1,Bathroom Products
"Articoli casalinghi e oggetti diversi, Fondamenta Ormesini",1,Household Goods
Lavori Fotografici,1,Photography Services
Articoli per Fumatori,1,Smoking Articles
Magazzini della Gomma,1,Rubber Goods
Ottica,1,Optics
Articoli di Lusso,1,Luxury Goods
Articoli di Pittura e Disegno,1,Art Supplies
Articoli da Viaggio,1,Travel Goods
Aspirapolvere,1,Vacuum Cleaners
"Qualsiasi Pratica presso Municipi, Prefetture, Tribunali ed Enti vari, Agenzia d'Affari, Cospista",1,Government Services
Commercio terreni,1,Real Estate
Automobili,1,Automobiles
Autonoleggi e Autorimesse,1,Car Rentals
"BAULI moderni, solidi, leggeri ed eleganti",1,ADVERTISEMENT
S. Marco 2553,1,GARBAGE
"S. Marco, 553",1,GARBAGE
"S. Marco, 2670 A",1,GARBAGE
"S. Marco, 4611",1,GARBAGE
Avvolgimento Motori,1,Motor Wrapping
Telef. 53-819,1,GARBAGE
gestione caffè,1,Coffee Management
Benzina,1,Gasoline
Biancheria per Signora,1,Women's Linens
Bigiotterie,1,Costume Jewelry
Fdm. Vetrari,1,Glassworks
Bronzi,1,Bronze Works
Gerente Baldi Antonio,1,GARBAGE
Soc. An.,1,GARBAGE
"Gran Caffè Bar 900, S. Simeone",1,Café
Calce,1,Construction trade
Addizionatricei,1,GARBAGE
Calzoleria,1,Shoemaker
Camicie da uomo,1,Men's shirts
"""Cantieri Navali""",1,Shipping company
"119-A""",1,GARBAGE
Cantiere Navale e Officine Meccaniche,1,Shipyard and Mechanical Workshops
CANTIERE NAVALE,1,Shipyard
telefono 24-562,1,GARBAGE
Industrial,1,Industrial
Carboni Fossili e Legna da ardere,1,Coal and Firewood
Commercio Carboni e Legna da ardere,1,Coal and Firewood Trade
carboni o legna da ardere,1,Coal or Firewood
Ritratti artistici - Lavori industriali - Reparto eliocinografico - vendita materiale fotocinematografico,1,ADVERTISEMENT
2667 B,1,GARBAGE
Carni equine,1,Horse meat
Carni conservate,1,Preserved meats
Carni e Frattaglie cotte,1,Cooked meats and Offal
Carta da parati e affini,1,Wallpaper and related
Carte e Stracci per Cartiere,1,Paper and Rags for Paper Mills
Carte da Gioco,1,Playing cards
CANCELLERIA CARTA E CARTONI,1,Stationery and Paper Products
Cavalli da Corsa,1,Racehorses
Cave,1,GARBAGE
"Cavi sotto piumo per energia ad alta e bassa tensione, Cavi telefonici di qualunque tipo, Cavetti sottopiombo per impianti interni, Fili « Corde rame » e alluminio isolati, Cordoncini luce-Cavetti sterlinanti, Accessori per cavi, Offerte, Listini",1,Electrical Cables
Cavi elettrotelefonici recupero e posa,1,Electrical Installation
Cementi armati,1,Construction Materials
Coloniali,1,Colonial Goods
Uffici,1,Offices
S. Moisé,1,Religious Institution
San Marco,1,Religious Institution
AGENCY,1,ADVERTISEMENT
"Compressori, Trapani, Smerigliatrici, Martelli pneumatici",1,Machinery Tools
Concimi azotati,1,Fertilizers
Confezioni per Signora,1,Women's Clothing
Conserve,1,Preserved Foods
Copisterie,1,Copy Services
cordami,1,Rope Manufacturing
di Guido Rusconi,1,GARBAGE
Laboratorio Cornici ed Affini,1,Frame Workshop
Costruzione e gestione alberghi,1,Hotel Management
Fond. Convertite,1,GARBAGE
Costruzioni stradali e ferroviarie,1,Civil Engineering
Cotoni e cascami,1,Cotton Products
"Officina elettrogalvanica, Argentatura, Ramatura, Biancatura, Ossidatura",1,Electroplating Services
"FABBRICA - Cucine economiche, Stufe - Letti - Reti - Brande Turche",1,ADVERTISEMENT
Negozi: Bottega dell'Elettricità,1,Electrical Shop
Bottega della Luca,1,GARBAGE
Società An. cuoi artistici Veneziani,1,Leather goods
"Stabilimento Serico Velluti, Soprarizzi, Broccati, Damaschi per Arredamento e chiesa. Passamanterie.",1,Textile manufacturing
decoratore in stuepici e costruzioni,1,Decorator
« Decorazione della Casa »,1,ADVERTISEMENT
Demolizione Navi,1,Ship demolition
Denti artificiali,1,Dental prosthetics
Detective,1,Detective
(fabbriche),1,GARBAGE
Disinfestazioni,1,Pest control
d’ingresso ferroviari,1,Railway entrance
Giornali Riviste,1,Publishing
Divise,1,Uniforms
Doratura,1,Gilding
Duplicatori,1,Duplicators
Ebanisti,1,Cabinet makers
produzione distribuzione,1,Production distribution
S. Samuele 3357,1,GARBAGE
"1079""",1,GARBAGE
Elettrochimica,1,Electrochemistry
Elettrodomestica,1,Home appliances
Elettrogalvanica,1,Electrogalvanics
"Impianti e Forniture Industriali e Civili, Riscaldamenti Moderni, Idraulici, Sanitari, Elettricità ed affini",1,Industrial services
Applicazioni elettroautomatiche impianti terrestri e navali,1,Electroautomatic systems
Eraclit,1,GARBAGE
Erbe medicinali,1,Medicinal herbs
Esercizio caffè,1,coffee shop
Essenze spiritose,1,spirits
Essiccatoi,1,drying facilities
v. Principe di Piemonte 10,1,GARBAGE
"rag. Severino Sutter, S. Polo 2988",1,legal profession
AFFITTI APPARTAMENTI COMPRA - VENDITA AMMINISTRAZIONE,1,real estate
Fasite,1,GARBAGE
Falegnameria e Meccanica,1,carpentry
STABILIMENTO ELETTRO - MECCANICO PER LA LAVORAZIONE DEL LEGNO,1,woodworking factory
Comune di S. Elena Gestione Ospedale Civile,1,government/civic institution
pt. Sant' Antonino,1,GARBAGE
Campo S. Maria Formosa,1,GARBAGE
Internazionale Zamplroni propr. Vianello,1,ADVERTISEMENT
Soc. per Az.,1,GARBAGE
Soc per Az,1,GARBAGE
Ferro battuto,1,wrought iron
Ferro e derivati,1,iron and derivatives
Ferro e metalli da fondere,1,iron and metals
Fibre autarchiche,1,GARBAGE
Fiscoli e dischi per la spremitura delle olive,1,olive oil equipment
C. P. 46,1,GARBAGE
"alluminio, Porto Marghera",1,aluminum
Foraggi,1,animal feed
Forniture per imbarcazioni,1,boat supplies
Forniture marittime,1,maritime supplies
Forniture meccaniche,1,Mechanical Supplies
provveditoria marittimo,1,Maritime Supplies
forniture navali,1,Naval Supplies
Fotindustria,1,Photography Industry
San Luca Calle del Magazen,1,Retail Store
Francobolli,1,Stamps
"Bottega della Luce, S. Marco, Calle Goldoni 4511",1,Lighting Shop
S. Luca 4371,1,Retail Store
Gas tossici,1,Toxic Gases
Ghiaia,1,Gravel
Gemme per veicoli,1,Vehicle Gems
Gres,1,Stoneware
"IMPIANTI E FORNITURE INDUSTRIALI E CIVILI, IN RISCALDAMENTI MODERNI, IDRAULICI, SANITARI, ELETTRICITÀ ED AFFINI, OFFICINA ELETTROME CANICA, SALDATURA AUTOGENA",1,Industrial Supplies
IMBALLAGGI IN LEGNO,1,Wooden Packaging
LEGNAME E IMBALLAGGI,1,Timber and Packaging
"__SECTION__,,Imberchi e sbarchi""",1,GARBAGE
Impianti costruzioni elettriche,1,Electrical Construction
Impianti riscaldamento,1,Heating Systems
San Lio,1,Retail Store
Impianti Telefonici Automatici interni,1,Automatic Telephone Systems
Officina,1,Workshop
ZAGO F. LLI,1,ADVERTISEMENT
Imposte di consumo,1,Consumption Taxes
Fornitura per lavori ed opera edilizia stradali,1,Construction Supplies
manutenzione strade ferrate,1,Railway Maintenance
costruzioni ferroviarie,1,railway construction
COSTRUZIONI PONTILI E OPERE PORTUALI,1,port construction
Impresa Lavori Edili e Marittimi,1,construction company
OFFICINA RIPARAZIONI,1,repair shop
"S. Marco 3416""",1,GARBAGE
Terragliole,1,GARBAGE
Porto Industriale,1,industrial port
Via Torre Belfredo,1,GARBAGE
"Impresa Costruzioni Edilizie, Lavori edilizi in cemento armato, ferro e legno",1,construction company
",,Direzione per la costruzione del Tempio Votivo di Lido,Conte di L'albero 38851,,De Bernardi Domenico,Cannaregio 2446,,De Rossi Antonio,,Mestre,Via Mestrina 62Dei Rossi Engleo,,Burano,S. Mauro 121",1,GARBAGE
Pavimentazione rivestimenti murale vetrosi,1,flooring and wall coverings
Schedari - Mobili per Uffici - Macchine Contabili,1,office furniture
Commercio Filande per la trattatura della seta,1,silk treatment commerce
Imprese lavori,1,construction companies
Imprese e pompe funebri,1,funeral services
Inchiostri,1,inks
Telefono 23.050,1,GARBAGE
S. Marco 4651,1,GARBAGE
Agente per il Veneto: S. A. Supper Lux,1,ADVERTISEMENT
Insetticidi,1,insecticides
Installazioni elettriche ed idrauliche e vendita materiale elettrico,1,electrical and plumbing installations
Arti Grafiche Esperia,1,graphic arts
Banco,1,bank
Banco di Interesse Nazionale,1,national interest bank
Lanerìe e seterie,1,wool and silk goods
S. Elena,1,GARBAGE
Ne gropente,1,GARBAGE
S. Polo 1077,1,GARBAGE
Vetrai 74,1,Glassworks
Lavorazione materie plastiche,1,Plastic processing
Lavorazione marmi,1,Marble processing
Lavori pubblici in genere,1,Public works
Legna (ingrosso),1,Firewood wholesale
La Mercantile Azienda Veneta Rappresentanze Commerciali Industriali,1,Commercial agency
Legnami di sfacimento,1,Timber
"Carboni fossili, Ligniti legna da ardere",1,Fossil fuels
Legumi,1,Legumes
"Ritratti artistici, Lavori industriali, Reparto elinocianografico, vendita materiale ft. ocinematografico",1,ADVERTISEMENT
Lievito,1,Yeast
Linifici,1,Linen industry
"Vini, Liquori, Alimentari, Rappresentanze e Depositi",1,Wine and spirits
Macchine e accessori,1,Machinery
Macchine per scrivere e accessori,1,Typewriters
Macellazione,1,Butchery
Bestimare ed esercizio macellere,1,Butchery services
"S. Croce 772, Dorsod. 2727, S. Marco 4578 e Lido, Via Malamocco 91",1,GARBAGE
Magazzini di deposito,1,Warehousing
Maioliche artistiche,1,Artistic ceramics
Malto,1,Malt
INSETTICIDA,1,Insecticide
"Telefono, 23-257",1,GARBAGE
Arte Monumentaria,1,Art Restoration
Materiale cinematografico,1,Film Materials
"Impresa Edile, Costruzioni In Cemento",1,Construction Company
Materiali da costruzione,1,Building Materials
Manufatti in cemento,1,Concrete Products
Materiale ferroviario,1,Railway Materials
Materiali plastici,1,Plastic Materials
Materiali radio elettrici,1,Electrical Materials
Materiali siderurgici,1,Steel Materials
Materiali tecnici e per la ricostruzione,1,Technical Materials
prime per celerie,1,GARBAGE
Materie resìnose,1,Resin Materials
Meccanica di precisione,1,Precision Mechanics
"Rappresentanza di case produttrici di medicinali, prodotti dietetici, chimici, sanitari, igienici, ortopedici, galenici",1,Pharmaceutical Representation
Medicinali,1,Pharmaceuticals
S. Fosca 2223,1,GARBAGE
S. Marco 914,1,GARBAGE
Bottegon,1,GARBAGE
"Ricami artisti a mano, Laboratorio proprio, Negozio di vendita",1,Hand Embroidery
Metalli lavorati e bronzi,1,Processed Metals
Premiato Mobilificio,1,Furniture Manufacturer
FABBRICA,1,GARBAGE
ARREDAMENTI NEGOZI,1,Store Furnishings
Costruzioni Edili,1,Building Construction
Molini,1,Milling
Modelli abiti signora,1,Women's Fashion
Mosaici,1,Mosaics
Motori,1,Motors
"Sestri, Agenzia di Padova: Ditta Michele Trappetti. Corso del Popolo, 1, Telefono: 24-587. Motori Diesel ad iniezione meccanica per impianti fissi e marini, Motori a gasogeno.",1,Diesel Engines
Nichelatura,1,Nickel Plating
Officine per carica accumulatori,1,Battery Charging
Officine industria alluminio,1,Aluminum Industry
Officina Meccanica e Fabbrile con Torneria,1,Mechanical Workshop
Officine meccaniche e saldature,1,Mechanical Engineering
Oggetti preziosi ed affini,1,Precious Objects
2288 - Telefono 25-889,1,GARBAGE
Telefono 42-562,1,GARBAGE
Olive,1,Olives
affitti appartamenti vuoti e ammobilitati,1,Apartment Rentals
"Unica Premiara Ditta di Palloncini alla Veneziana, Grandissimo Assortimento con Festoni e Addobbi per Barche, Sale, e Cotillons per Feste Danzanti",1,ADVERTISEMENT
Unica Premiara Ditta di Palloncini alla Veneziana,1,ADVERTISEMENT
Palombari,1,Divers
Panelli,1,Panels
S. Marco 3727,1,GARBAGE
Paraffina,1,Paraffin
"Pasticcerie, Liquori, Vini",1,Pastry and Liquor
selciatura e pavimentazione stradale,1,Road Paving
Pellami e cuoi,1,Leather Goods
Commerciale cuci artistici Veneziani,1,ADVERTISEMENT
Confezioni Pelliccerie,1,Furrier
Penna,1,Pen
"Pellestrina, S. Pietro in Volta",1,Religious institution
Pianoforti,1,Pianos
Pianoforti di tutte le marche,1,ADVERTISEMENT
Piloti,1,Pilots
Pittori decoratori,1,Decorators
Porcellane,1,Porcelain
recuperi,1,Recoveries
per L'industria Mineraria ed agricola,1,Mining and agriculture
(commercio),1,Commerce
s.r.l.,1,Company
Prodotti coloranti,1,Coloring products
Prodotti industriali,1,Industrial products
Prodotti tessili,1,Textile products
Prodotti vetrari,1,Glass products
Lavorazione profumerie,1,Perfume manufacturing
Quadri di manovra e commando,1,Control panels
Recordi ferroviari,1,Railway records
Radiotecnico,1,Radio technician
"RADIORIPARAZIONI A DOMICILIO, NOLEGGIO RADIOGRAMMFONI",1,ADVERTISEMENT
Concessionario Marelli,1,Dealer
Phonola radio,1,Radio
Rodio,1,Rhodium
"Riparazioni radiorecivitori normali e speciali - altoparlanti - microfoni, pick ups, ecc.",1,Radio repairs
S. A. Fondiaria Italiana,1,Insurance company
Cast. 3133,1,GARBAGE
Radiomeccanica,1,Engineering services
S. in nome collettivo,1,GARBAGE
Società per Azioni,1,Corporation
Assistenza generi razionati agli alimentari bar alberghi,1,Food assistance
rappresentante te colori e prodotti chimici,1,Chemical representative
rappresentante i prodotti chimici,1,Chemical representative
Ritratti artistici - Lavori industriali - Reparto elite cinografico - vendita materiale ftocinematografico,1,ADVERTISEMENT
Via Piave,1,GARBAGE
P.za Umber. I,1,GARBAGE
S. Marco 4346,1,GARBAGE
Refrattari - laterizi e calce,1,Construction materials
"Strumenti per la misura, la regolazione e la registrazione delle temperature, Agente: Luigi Jasgher - Venezia, Castello, S. Lio 5685",1,Measurement instruments
Reti e articoli da pesca,1,Fishing supplies
"Biancheria fine per signora finita e su commissioni, Corredi, Ricami a mano, di fronte Hotel Bonvecchiati",1,ADVERTISEMENT
Ricerche minerarie,1,Mining research
Riparazioni autoveicoli,1,Auto repair
Riparazioni impianti tecnici e igienici,1,Technical repairs
Riparazioni riavvolgimenti macchine elettriche,1,Electrical repairs
Riscaldamento e termosifoni,1,Heating services
Riserie,1,Rice production
Ristoranti vegetariani,1,Vegetarian restaurants
Rottami metallici,1,Scrap metal
Saloni,1,ADVERTISEMENT
Ritratti aistici - Lavori industriali - Reparto elio- cianografico,1,Industrial Works
Scaldabagni elettrici,1,Electric Water Heaters
Scopai,1,Garbage
Segnalazioni luminose,1,Light Signals
Sego,1,Garbage
P. Marghera,1,Garbage
Semiotrica,1,Semiotics
"Consiglio di Amministrazione: Presidente Giovanni Scaramanga di Altomonte; Vice Presidente: cav. di gr. cr. ing. dr. Luigi Macalina; Consiglieri comm. dr. Rodolfo Bernardi; comm. dott. Pardè Formentini; avv. Bruno Forti conte Mario Moretti; dott. Mario Valenti. nuzzi. - Collegio dei Sindaci: gr. uff. rag. Amedeo Fracassi; gr. uff. dott, Cesare Cichi; dott. Girolamo Manzutto; dott. Mario Renzi; dr. rag. Antonio Tedeschi. Direttore Generale: gr. uff. cap. Guido Cosulich, - Sede di Venezia, Direzione ed ufficio merci: Piazza S. Marco. Direttore della sede di Venezia: Com.te, cav. uff, Filibert Francesco.",1,Government/Civic Institution
"Articoli di lusso per ""regali""",1,Luxury Goods
"Vetri Artistici, perle specialità, veneziane",1,Artistic Glass
"Collane di perle e fiori di vetro, produzione prornia",1,Jewelry Production
"Perle, Brillanti imitazione Argenterie, Specialità Veneziane, Casa Fondata nel 1872",1,Imitation Jewelry
Artisti Ritratti,1,Portrait Artists
Piazz. 27 Ottobre,1,Garbage
Agenzia Marittima e spedizioni internazionali,1,Shipping Agency
di spedizione,1,Shipping
terrestri,1,Transportation
Lussero Cl. rag. Cesare,1,Garbage
Telefono 22-534,1,Garbage
Via Acquileia,1,Garbage
S.A.F.A.,1,Garbage
S. Moisè,1,Garbage
Spettacoli educativi e morali,1,Educational Shows
S. Croce,1,Garbage
Deposito stoffe,1,Fabric Storage
Mazzagni Fasolato,1,GARBAGE
Stufe,1,Heating
"Affitti, Appartamenti, Compravendita Case, Terrei, Dent, Immobili",1,Real estate
Porto secco,1,Shipping company
Cà Vio,1,GARBAGE
v. Macello,1,GARBAGE
Tappezzerie,1,Upholstery
Targhe,1,Signs
gestione S. A.,1,GARBAGE
Teatri,1,Theaters
Gesitone S. A. «I. C. S. A.»,1,GARBAGE
gestione S. A. «I. C. S. A.»,1,GARBAGE
gestione Furlan cav. Giovanni,1,GARBAGE
"Impianti Telefoni Automatici Interni, Autorizzata dall'Azienda di Stato",1,Telecommunications
Telefoni,1,Telephones
Termometri,1,Thermometers
"""Lido Gran Viale 27""",1,ADVERTISEMENT
Tessuti d'arte,1,Fabrics
Labor. Via Cà Rossea 4,1,GARBAGE
Ritratti artistici - Lavori industriali,1,Art portraits
Cartotecnica,1,Paper products
Tessuti d'Arte creati su telai primiavi,1,Fabrics
Succ. Lorenzo Rubelli e Figlio,1,GARBAGE
Fabbrica Timbri in Gomma,1,Rubber stamps
Sede di Venezia,1,GARBAGE
Torroni,1,Confectionery
COMPRESSORI D’ARIA,1,Air Compressors
TRAPANI ELETTRICI,1,Electric Drills
Trasporti aerei,1,Air Transport
Trasporti marittimi e fluviali,1,Maritime Transport
Esercizio,1,ADVERTISEMENT
Società Adriatica Trasporti Turismo Imbarchi,1,Transport and Tourism
TRASPORTI POSTALI,1,Postal Transport
TRASPORTI SERVIZI PORTUALI,1,Port Services
"Rinomata cucina, VIni scelti, Servizio accurato",1,ADVERTISEMENT
Alla Salute Risorta,1,ADVERTISEMENT
"La più caratteristica Trattoria, di Polo Pietro fu Osvaldo, Telefono 25-463",1,Restaurant
Il ritrovo dei buongustai,1,ADVERTISEMENT
Tubi in cemento,1,Cement Pipes
Tubi in ferro e acciaio,1,Steel Pipes
Utensili e utensileria in genere,1,Tools and Hardware
Vernici e smalti,1,Paints and Coatings
Vestiario,1,Clothing
Vetrerie scientifiche e farmaceutiche,1,Scientific and Pharmaceutical Glass
"Vetreria Artistica e Stampata, Soffleria Sanitaria, Fiale ed Afftni, Lampadari e Vetri Artistici di Murano",1,Artistic Glassworks
S.A.V.I.A.,1,GARBAGE
Vetri sanitari,1,Sanitary Glass
Vetroflex,1,GARBAGE
Zuccherifici,1,Sugar Factories
Maioliche Artistiche,1,Artistic Ceramics
diret. uff. del Registro,1,government/civic institution
Comandante Legione Terr. della Guardia di Finanza,1,government/civic institution
trasporti fluviali,1,shipping company
Adriatica Costruzioni Edilizie,1,construction trade
giornalaio (vendita),1,newsstand
il caffè (esercizio),1,café
Aromi dolci affini di Marcassoli Marino,1,ADVERTISEMENT
ing. Sez. Corpo del Genio Civile,1,engineering profession
segretaria Istituto Universitario di Economia e Comm. Cà Foscari,1,educational institution
costruzioni e riparazioni navali,1,shipping company
provveditorii marittima,1,government/civic institution
navi compravendita,1,shipping company
Capitale sociale L. 150.000.000,1,GARBAGE
fiati ed affini,1,ADVERTISEMENT
Accomandita Gestioni,1,ADVERTISEMENT
Azienda Generale (carrozzieri,1,automotive trade
Azienda Generale Italiana Petrolii,1,oil company
Raffineria e Depositi,1,oil company
Capo rip. personale Polrvice dello Stato,1,government/civic institution
maglieria,1,clothing trade
Casa Italiana Rappresentanze Depositi affini C.I.R.L.A.,1,ADVERTISEMENT
awvoc,1,legal profession
Azienda Immobiliare Anonima,1,real estate
quadri-riproduzionl ed oggettl artistici,1,art reproduction
Fid. Prova-della (V.U.V.),1,GARBAGE
Pastore,1,Shepherd
Pellicce e Confezioni per Signora,1,Women's Fur and Tailoring
carpenterie,1,Carpentry
Bacino Orseolo 1198,1,GARBAGE
"Alla Colonna, trattoria,",1,Restaurant
informazioni commerciali,1,Commercial Information
oste,1,Innkeeper
Ingegner Capo del Corpo del Genio Civile,1,Civil Engineering
Direttore Ass,1,ADVERTISEMENT
cotoleria,1,GARBAGE
Capo Servizio Sez. Deposito Franco,1,ADVERTISEMENT
linge rie e maglierie,1,Linen and Knitwear
S. Marco 1957A,1,GARBAGE
alluminio,1,Aluminum
Avogado degli Azzoni,1,Lawyer
vet radeo,1,GARBAGE
Officina Meccanica Metallurgica e Costruzioni in Ferro,1,Mechanical Workshop
Importazioni ed esportazioni varie,1,Import/Export
Carbone e legna (grossista),1,Coal and Wood Wholesale
Medico Chirurgo,1,Surgeon
Cassiere Banca Nazionale del Lavoro,1,Bank Cashier
Cingalagerie,1,GARBAGE
Parrucchiere per signora,1,Women's Hairdresser
Caffè (Esercizi),1,Café
"Sanpoli Lux, S. Molsi 2025",1,GARBAGE
Officina meccanica,1,Mechanical workshop
"Bar, Caffè",1,"Bar, Café"
Arredamenti,1,Furnishings
Rettore,1,Rector
Merceria,1,Notions store
"Trasporti marittimi, fluviali e terrestri",1,Transportation services
Industria dello spettacolo,1,Entertainment industry
Società di Assicurazioni,1,Insurance company
"Istituto di Informazioni e di Investigazioni, Ricerche, agenzia d'informazioni e investigazioni",1,Investigation agency
Organizzazione Trasporti di qualsiasi tipo,1,Transportation organization
Accomodini Verzemin Alimentari D. Caonet di. Ca Ponte e C. Alimentari (arross.),1,ADVERTISEMENT
Stazione di Mestre,1,Train station
Azienda Agricola,1,Agricultural company
"Cantieri navali, trasporti marittimi fluviali e terrestri",1,Shipyards
S. Marco 1393 e Marghera,1,ADVERTISEMENT
Impresario Edile,1,Construction contractor
"Panificio, pastificio",1,"Bakery, pasta shop"
Locanda,1,Inn
maglierie negozio,1,Knitwear store
lingerie,1,Lingerie
Succ. Ditta Perissinotto Giuseppe di Nicola,1,ADVERTISEMENT
cattoria,1,GARBAGE
S. M. Elisabetta 31,1,ADVERTISEMENT
macerie,1,GARBAGE
eletricista,1,Electrician
lavorazione dzoghe,1,GARBAGE
alimentari (gross e,1,grocery
parrucchiere per signora e berbiere,1,hairdresser
fotografe,1,photographer
specialità veniziane,1,ADVERTISEMENT
materiali refrattari e laterizi. Prodotti chimici,1,construction materials
materiale per construzioni edilizie,1,construction trade
raprresentante,1,ADVERTISEMENT
no. industria,1,GARBAGE
tipografa,1,printing
carta e stracci per cartiere,1,paper products
lattera,1,dairy
bronzi,1,bronze
fattoria,1,farm
importo di Consumo,1,ADVERTISEMENT
antiquità belle arti,1,antiques
pelle (lavor.e commercio),1,leather trade
rappresentante pellami,1,leather representative
prodotti chimici (commercio),1,chemical products
capelliera,1,ADVERTISEMENT
stucchi,1,stucco
Direttore Banco San Marco,1,banking
sguero,1,GARBAGE
croft (esercizi),1,GARBAGE
confezioni Varie,1,ADVERTISEMENT
articoli Casalinghi,1,household goods
prodotti chimici commercio,1,chemical trade
legnami e pali da costruzione,1,construction materials
Alla Vida,1,ADVERTISEMENT
Ass. Naz. Combattenti,1,veterans association
abiti confezioni,1,clothing manufacturing
o. pensione,1,ADVERTISEMENT
Prefettura,1,government office
Dogana Principale,1,customs office
Piazzale Stazione,1,transportation hub
nacelleria,1,GARBAGE
latticini alimentari,1,dairy products
agrumi,1,citrus fruits
calcature,1,footwear
calzificio,1,shoe factory
Procuratore presso la Corte d’Appello,1,legal profession
macellaeria,1,butcher shop
salumeria,1,delicatessen
legatoria di Libri,1,bookbinding
calzaturaio,1,shoemaker
cinzieria,1,furrier
mosocore,1,GARBAGE
officina meccanica metallurgica e construzioni in ferro,1,metalworking shop
tessanti,1,GARBAGE
Direttore Banqueca Veneziana di Cprediti e Conti Corrrenti,1,banking director
pelterie,1,furrier
"Ottica, ingegneria, fotografia",1,optics and photography
Stabilimento Serico,1,silk establishment
S. Pietro Apostolo,1,religious institution
mediatrice e sensale marittima,1,maritime broker
alimentari (grosso),1,wholesale groceries
macelleria (introduced bestiame),1,butcher
macellaio (introdtuto e bestiame),1,butcher
micelleria,1,GARBAGE
quadri,1,paintings
ertaio,1,GARBAGE
Canal Palazzo Widmann,1,GARBAGE
costruttore edile,1,construction trade
liquori fabbrica e depositi,1,liquor manufacturer
Associazione,1,association
articoli da bagno,1,bathroom articles
Via L. Manvrello,1,GARBAGE
Trattoria Locanda „Alle Anche Figure„,1,trattoria
S. Lucia,1,religious institution
Favaro Veneto Campalto,1,GARBAGE
imprese e opere marittime,1,maritime enterprises
Uff. di Magazzino,1,warehouse office
S. Giuliano.,1,religious institution
Capo Uff. Amministrazione,1,administrative officer
pelli,1,hides
buste salate,1,GARBAGE
pesce conservato caviale,1,fish market
cappelleria,1,hat shop
nobili,1,GARBAGE
Capitano Addetto,1,GARBAGE
Via Algieri,1,GARBAGE
starchics,1,GARBAGE
Geomera,1,surveyor
V. Direttore,1,GARBAGE
Rappresentante Generi Alimentari,1,food distributor
Fornitore Marittime,1,shipping supplier
Alimentarì (dett.),1,grocery
Noleggio Imbarcazioni,1,boat rental
Abbigliamento per Bambini e Ragazzi,1,children's clothing
Sarto Da Uomo,1,men's tailor
Agenzia Traslochi,1,moving agency
Imprese ed Appalti Vari,1,construction trade
Picchettaggio e Verniciatura Prosceni,1,GARBAGE
Vice Presidente Deputazione Provinciale dell’Amministrazione della Provincia,1,government institution
Automoleggigo e Autorimessa,1,car rental
Parrucchiere per Signora,1,women's hairdresser
Relatore Comando di Legione Guardia di Finanza,1,GARBAGE
Ferramenta e Colori,1,hardware store
Impianti Elettro-Industriali,1,electrical engineering
Casa del Regalo,1,gift shop
Elettricità Idraulica e Gas,1,Utilities
Imprese ed Appalti,1,Construction Trade
Ritratti Artistici - Lavori Industriali,1,Art Portraits
Pres. Soc. Ven. della (IFSE),1,GARBAGE
Calle Larga S. Marco,1,GARBAGE
strumenti musicali e materiele radio,1,Musical Instruments
coltelleria e arrotini,1,Cutlery
mobili artistici e laccati,1,Artistic Furniture
carbone e legnai dettagli,1,Coal and Wood
